Origin,Destination,Total_time1,Total_time2,Exec_time1,Exec_time2
SLLP,LFPG,1863,1863,0.523,0.355
SLLP,LFPG,1383,1383,0.442,0.299
SLLP,LFPG,1323,1323,0.647,0.405
SLLP,LFPG,1866,1866,0.519,0.377
SLLP,LFPG,1868,1868,0.353,0.324
SLLP,LFPG,1959,1959,0.460,0.324
SLLP,LFPG,2019,2019,0.585,0.606
SLLP,LFPG,1592,1592,0.441,0.317
SLLP,LFPG,2007,2007,0.687,0.538
SLLP,LFPG,2132,2132,0.592,0.430
SLLP,LFPG,1458,1458,0.322,0.366
SLLP,LFPG,1919,1919,0.360,0.384
SLLP,LFPG,1428,1428,0.383,0.295
SLLP,LFPG,1369,1369,0.349,0.523
SLLP,LFPG,2009,2009,0.398,0.297
SLLP,LFPG,1950,1950,0.342,0.420
SLLP,LFPG,1743,1743,0.396,0.321
SLLP,LFPG,1883,1883,0.506,0.488
SLLP,LFPG,1961,1961,0.416,0.333
SLLP,LFPG,1932,1932,0.368,0.390
SLLP,LFPG,1866,1866,0.420,0.322
SLLP,LFPG,1908,1908,0.337,0.323
SLLP,LFPG,1455,1455,0.316,0.285
SLLP,LFPG,1858,1858,0.442,0.316
SLLP,LFPG,1543,1543,0.644,0.392
SLLP,LFPG,1265,1265,0.352,0.413
SLLP,LFPG,2081,2081,0.448,0.302
SLLP,LFPG,1812,1812,0.366,0.326
SLLP,LFPG,1878,1878,0.369,0.351
SLLP,LFPG,2134,2134,0.327,0.307
SLLP,LFPG,1979,1979,0.620,0.388
SLLP,LFPG,1450,1450,0.422,0.333
SLLP,LFPG,1689,1689,0.651,0.413
SLLP,LFPG,1345,1345,0.434,0.311
SLLP,LFPG,1867,1867,0.357,0.326
SLLP,LFPG,1988,1988,0.458,0.495
SLLP,LFPG,1989,1989,0.408,0.324
SLLP,LFPG,1801,1801,0.642,0.566
SLLP,LFPG,1858,1858,0.823,0.612
SLLP,LFPG,1843,1843,0.799,0.507
SLLP,LFPG,1860,1860,0.549,0.506
SLLP,LFPG,1376,1376,0.805,0.523
SLLP,LFPG,1678,1678,0.827,0.612
SLLP,LFPG,1507,1507,0.750,0.689
SLLP,LFPG,2077,2077,0.897,0.513
SLLP,LFPG,1972,1972,0.377,0.320
SLLP,LFPG,1537,1537,0.484,0.381
SLLP,LFPG,1609,1609,0.720,0.527
SLLP,LFPG,2015,2015,0.443,0.328
SLLP,LFPG,1259,1259,0.451,0.359
SLLP,LFPG,1867,1867,0.423,0.325
SLLP,LFPG,1932,1932,0.573,0.453
SLLP,LFPG,1985,1985,0.465,0.389
SLLP,LFPG,1469,1469,0.646,0.505
SLLP,LFPG,1985,1985,0.575,0.507
SLLP,LFPG,1696,1696,0.836,0.602
SLLP,LFPG,1421,1421,0.478,0.304
SLLP,LFPG,1936,1936,0.458,0.336
SLLP,LFPG,1896,1896,0.362,0.321
SLLP,LFPG,1810,1810,0.317,0.315
SLLP,LFPG,1947,1947,0.324,0.420
SLLP,LFPG,1285,1285,0.668,0.442
SLLP,LFPG,2006,2006,0.468,0.289
SLLP,LFPG,1654,1654,0.353,0.336
SLLP,LFPG,1943,1943,0.520,0.468
SLLP,LFPG,1795,1795,0.411,0.300
SLLP,LFPG,1293,1293,0.331,0.322
SLLP,LFPG,1817,1817,0.595,0.564
SLLP,LFPG,1978,1978,0.585,0.374
SLLP,LFPG,1953,1953,0.356,0.333
SLLP,LFPG,1762,1762,0.321,0.300
SLLP,LFPG,1252,1252,0.351,0.305
