Origin,Destination,N_flights,Flight_time,Wait_time,Total_time,Exec_time
UMMS,SKBO,1,1324,323,1647,1.895
UMMS,SKBO,2,1874,317,2191,1.869
UMMS,SKBO,1,1322,230,1552,1.044
UMMS,SKBO,1,1324,248,1572,1.829
UMMS,SKBO,1,1324,289,1613,1.266
UMMS,SKBO,1,1324,707,2031,1.424
UMMS,SKBO,2,1874,84,1958,1.397
UMMS,SKBO,2,1803,45,1848,1.045
UMMS,SKBO,2,1823,268,2091,0.945
UMMS,SKBO,1,1322,160,1482,0.892
UMMS,SKBO,2,1876,194,2070,1.597
UMMS,SKBO,2,1803,127,1930,1.601
UMMS,SKBO,2,1867,189,2056,1.001
UMMS,SKBO,2,1870,76,1946,1.422
UMMS,SKBO,1,1324,676,2000,0.973
UMMS,SKBO,2,1869,248,2117,1.112
UMMS,SKBO,2,1816,167,1983,1.723
UMMS,SKBO,1,1324,79,1403,1.497
UMMS,SKBO,2,1875,270,2145,0.870
UMMS,SKBO,2,1870,27,1897,1.632
UMMS,SKBO,2,1871,113,1984,1.036
UMMS,SKBO,1,1324,99,1423,0.832
UMMS,SKBO,2,1888,77,1965,0.991
UMMS,SKBO,2,1811,200,2011,1.777
UMMS,SKBO,2,1867,136,2003,1.963
UMMS,SKBO,2,1870,152,2022,1.762
UMMS,SKBO,2,1869,364,2233,1.040
UMMS,SKBO,1,1322,170,1492,1.844
UMMS,SKBO,1,1322,336,1658,2.002
UMMS,SKBO,2,1876,226,2102,1.710
UMMS,SKBO,2,1874,185,2059,2.532
UMMS,SKBO,2,1823,369,2192,2.319
UMMS,SKBO,2,1870,19,1889,2.113
UMMS,SKBO,2,1874,202,2076,2.587
UMMS,SKBO,2,1874,44,1918,1.650
UMMS,SKBO,2,1874,189,2063,2.320
UMMS,SKBO,2,1867,130,1997,1.782
UMMS,SKBO,1,1324,297,1621,1.600
UMMS,SKBO,1,1324,192,1516,1.215
UMMS,SKBO,2,1883,22,1905,1.463
UMMS,SKBO,1,1322,21,1343,1.491
UMMS,SKBO,2,1863,97,1960,0.924
UMMS,SKBO,2,1803,365,2168,1.164
UMMS,SKBO,2,1811,288,2099,1.610
UMMS,SKBO,2,1808,205,2013,1.342
UMMS,SKBO,1,1322,66,1388,0.918
UMMS,SKBO,2,1881,172,2053,1.244
UMMS,SKBO,2,1863,122,1985,1.676
UMMS,SKBO,2,1888,90,1978,0.960
UMMS,SKBO,1,1324,227,1551,1.467
UMMS,SKBO,2,1876,223,2099,1.604
UMMS,SKBO,1,1324,432,1756,1.142
UMMS,SKBO,1,1322,537,1859,1.817
UMMS,SKBO,2,1808,90,1898,1.781
UMMS,SKBO,2,1808,201,2009,1.254
UMMS,SKBO,2,1881,182,2063,1.547
UMMS,SKBO,2,1870,177,2047,1.247
UMMS,SKBO,2,1875,165,2040,1.537
UMMS,SKBO,2,1875,164,2039,2.019
UMMS,SKBO,2,1876,261,2137,1.074
UMMS,SKBO,2,1808,215,2023,1.197
UMMS,SKBO,2,1876,67,1943,0.955
UMMS,SKBO,1,1324,219,1543,1.780
UMMS,SKBO,2,1867,95,1962,1.626
UMMS,SKBO,1,1322,580,1902,1.050
UMMS,SKBO,1,1324,152,1476,1.671
UMMS,SKBO,2,1874,197,2071,2.230
UMMS,SKBO,1,1324,519,1843,1.099
UMMS,SKBO,1,1322,67,1389,1.683
UMMS,SKBO,1,1322,145,1467,1.712
UMMS,SKBO,1,1322,513,1835,1.270
UMMS,SKBO,1,1322,476,1798,1.289
UMMS,SKBO,2,1870,203,2073,1.833
UMMS,SKBO,2,1815,367,2182,1.152
UMMS,SKBO,1,1324,694,2018,1.203
UMMS,SKBO,2,1874,258,2132,1.922
UMMS,SKBO,1,1324,356,1680,1.224
UMMS,SKBO,1,1322,141,1463,0.980
UMMS,SKBO,2,1876,131,2007,1.489
UMMS,SKBO,1,1324,289,1613,1.504
UMMS,SKBO,2,1808,120,1928,1.678
UMMS,SKBO,2,1881,211,2092,1.415
