Origin,Destination,Total_time1,Total_time2,Exec_time1,Exec_time2
EPMO,SPIM,1898,1898,0.547,0.690
EPMO,SPIM,2039,2039,0.729,0.430
EPMO,SPIM,2192,2192,0.389,0.345
EPMO,SPIM,1961,1961,0.402,0.343
EPMO,SPIM,2190,2190,0.540,0.635
EPMO,SPIM,1731,1731,0.406,0.350
EPMO,SPIM,2153,2153,0.377,0.319
EPMO,SPIM,2071,2071,0.359,0.314
EPMO,SPIM,1509,1509,0.857,0.687
EPMO,SPIM,2089,2089,0.782,0.748
EPMO,SPIM,2223,2223,0.827,0.477
EPMO,SPIM,2053,2053,0.487,0.368
EPMO,SPIM,2015,2015,0.503,0.369
EPMO,SPIM,1874,1874,0.433,0.375
EPMO,SPIM,1974,1974,0.390,0.314
EPMO,SPIM,1956,1956,0.532,0.314
EPMO,SPIM,2120,2120,0.380,0.309
EPMO,SPIM,2144,2144,0.378,0.315
EPMO,SPIM,1838,1838,0.376,0.354
EPMO,SPIM,1389,1389,0.425,0.289
EPMO,SPIM,1741,1741,0.363,0.296
EPMO,SPIM,2072,2072,0.351,0.313
EPMO,SPIM,1960,1960,0.348,0.318
EPMO,SPIM,2094,2094,0.383,0.342
EPMO,SPIM,1379,1379,0.631,0.505
EPMO,SPIM,1382,1382,0.376,0.362
EPMO,SPIM,2074,2074,0.423,0.475
EPMO,SPIM,1410,1410,0.488,0.304
EPMO,SPIM,1449,1449,0.354,0.376
EPMO,SPIM,2152,2152,0.496,0.381
EPMO,SPIM,1913,1913,0.434,0.321
EPMO,SPIM,2036,2036,0.340,0.384
EPMO,SPIM,1615,1615,0.406,0.308
EPMO,SPIM,1926,1926,0.587,0.357
EPMO,SPIM,2060,2060,0.395,0.350
EPMO,SPIM,1962,1962,0.427,0.331
EPMO,SPIM,2120,2120,0.302,0.276
EPMO,SPIM,2046,2046,0.355,0.349
EPMO,SPIM,1945,1945,0.420,0.331
EPMO,SPIM,2054,2054,0.381,0.309
EPMO,SPIM,1697,1697,0.400,0.331
EPMO,SPIM,2140,2140,0.381,0.360
EPMO,SPIM,2154,2154,0.547,0.411
EPMO,SPIM,1713,1713,0.403,0.326
EPMO,SPIM,2040,2040,0.477,0.429
EPMO,SPIM,1959,1959,0.534,0.434
EPMO,SPIM,1945,1945,0.484,0.327
EPMO,SPIM,2271,2271,0.359,0.320
EPMO,SPIM,2070,2070,0.326,0.286
EPMO,SPIM,2054,2054,0.419,0.346
EPMO,SPIM,1690,1690,0.433,0.312
EPMO,SPIM,1396,1396,0.336,0.284
EPMO,SPIM,1749,1749,0.326,0.311
EPMO,SPIM,2039,2039,0.321,0.288
EPMO,SPIM,2142,2142,0.365,0.406
EPMO,SPIM,1483,1483,0.560,0.552
EPMO,SPIM,2082,2082,0.589,0.325
EPMO,SPIM,2068,2068,0.433,0.471
EPMO,SPIM,1412,1412,0.559,0.320
EPMO,SPIM,1832,1832,0.472,0.345
EPMO,SPIM,2039,2039,0.309,0.330
EPMO,SPIM,2031,2031,0.356,0.288
EPMO,SPIM,1507,1507,0.378,0.538
EPMO,SPIM,2012,2012,0.497,0.356
EPMO,SPIM,2021,2021,0.385,0.314
EPMO,SPIM,1974,1974,0.400,0.380
EPMO,SPIM,2076,2076,0.800,0.680
EPMO,SPIM,1993,1993,0.642,0.378
EPMO,SPIM,1975,1975,0.342,0.315
EPMO,SPIM,2003,2003,0.315,0.274
EPMO,SPIM,1978,1978,0.385,0.291
EPMO,SPIM,1966,1966,0.387,0.395
EPMO,SPIM,2009,2009,0.389,0.335
EPMO,SPIM,2087,2087,0.418,0.304
EPMO,SPIM,1819,1819,0.625,0.331
EPMO,SPIM,1663,1663,0.398,0.324
EPMO,SPIM,2083,2083,0.471,0.305
EPMO,SPIM,2027,2027,0.355,0.298
EPMO,SPIM,1548,1548,0.383,0.333
EPMO,SPIM,1614,1614,0.558,0.443
EPMO,SPIM,1944,1944,0.335,0.283
EPMO,SPIM,2102,2102,0.352,0.329
EPMO,SPIM,2068,2068,0.490,0.366
EPMO,SPIM,2058,2058,0.369,0.352
EPMO,SPIM,1978,1978,0.326,0.296
EPMO,SPIM,2057,2057,0.350,0.330
EPMO,SPIM,1476,1476,0.453,0.316
EPMO,SPIM,2017,2017,0.448,0.485
EPMO,SPIM,1904,1904,0.874,0.610
EPMO,SPIM,2002,2002,0.544,0.337
EPMO,SPIM,2046,2046,0.466,0.313
EPMO,SPIM,1735,1735,0.493,0.321
EPMO,SPIM,2155,2155,0.364,0.299
EPMO,SPIM,2122,2122,0.426,0.453
EPMO,SPIM,2010,2010,0.388,0.321
EPMO,SPIM,1904,1904,0.410,0.313
EPMO,SPIM,1467,1467,0.337,0.341
EPMO,SPIM,2027,2027,0.479,0.321
EPMO,SPIM,1626,1626,0.490,0.454
EPMO,SPIM,1397,1397,0.426,0.292
EPMO,SPIM,1540,1540,0.361,0.330
EPMO,SPIM,1491,1491,0.451,0.321
EPMO,SPIM,2032,2032,0.791,0.413
EPMO,SPIM,1963,1963,0.335,0.325
EPMO,SPIM,1989,1989,0.391,0.320
EPMO,SPIM,2150,2150,0.484,0.423
EPMO,SPIM,1393,1393,0.377,0.291
EPMO,SPIM,1923,1923,0.403,0.368
EPMO,SPIM,1750,1750,0.355,0.316
EPMO,SPIM,1985,1985,0.359,0.358
EPMO,SPIM,2001,2001,0.623,0.484
EPMO,SPIM,1799,1799,0.375,0.325
EPMO,SPIM,2153,2153,0.339,0.314
EPMO,SPIM,1997,1997,0.373,0.321
EPMO,SPIM,2020,2020,0.406,0.483
EPMO,SPIM,2078,2078,0.520,0.349
EPMO,SPIM,2048,2048,0.416,0.339
EPMO,SPIM,2066,2066,0.366,0.304
EPMO,SPIM,2131,2131,0.534,0.506
EPMO,SPIM,2087,2087,0.398,0.317
EPMO,SPIM,2049,2049,0.347,0.303
EPMO,SPIM,2088,2088,0.346,0.339
EPMO,SPIM,1954,1954,0.557,0.339
EPMO,SPIM,2028,2028,0.437,0.377
EPMO,SPIM,2085,2085,0.327,0.292
EPMO,SPIM,2049,2049,0.499,0.304
EPMO,SPIM,2018,2018,0.396,0.363
EPMO,SPIM,1580,1580,0.502,0.379
EPMO,SPIM,1348,1348,0.385,0.315
EPMO,SPIM,2045,2045,0.349,0.287
EPMO,SPIM,2134,2134,0.400,0.498
EPMO,SPIM,2247,2247,0.458,0.326
EPMO,SPIM,1966,1966,0.517,0.443
EPMO,SPIM,2072,2072,0.377,0.321
EPMO,SPIM,2043,2043,0.541,0.513
