Origin,Destination,Total_time1,Total_time2,Exec_time1,Exec_time2
EIDW,SVMI,1432,1432,0.544,0.343
EIDW,SVMI,2062,2062,0.494,0.394
EIDW,SVMI,1588,1588,0.448,0.326
EIDW,SVMI,2291,2291,0.615,0.511
EIDW,SVMI,1687,1687,0.505,0.298
EIDW,SVMI,2263,2263,0.329,0.277
EIDW,SVMI,2148,2148,0.596,0.449
EIDW,SVMI,1307,1307,0.562,0.318
EIDW,SVMI,1703,1703,0.378,0.329
EIDW,SVMI,1371,1371,0.367,0.327
EIDW,SVMI,1526,1526,0.394,0.408
EIDW,SVMI,1542,1542,0.801,0.453
EIDW,SVMI,1957,1957,0.387,0.284
EIDW,SVMI,1458,1458,0.383,0.298
EIDW,SVMI,1255,1255,0.863,0.662
EIDW,SVMI,2100,2100,0.776,0.523
EIDW,SVMI,2175,2175,0.578,0.413
EIDW,SVMI,2069,2069,0.403,0.340
EIDW,SVMI,2060,2060,0.422,0.384
EIDW,SVMI,2275,2275,0.675,0.488
EIDW,SVMI,1912,1912,0.593,0.412
EIDW,SVMI,1980,1980,0.315,0.286
EIDW,SVMI,2078,2078,0.669,0.394
EIDW,SVMI,1835,1835,0.345,0.303
EIDW,SVMI,1243,1243,0.585,0.350
EIDW,SVMI,2070,2070,0.715,0.540
EIDW,SVMI,2181,2181,0.768,0.529
EIDW,SVMI,1405,1405,0.475,0.302
EIDW,SVMI,1997,1997,0.305,0.290
EIDW,SVMI,1967,1967,0.491,0.445
EIDW,SVMI,1620,1620,0.512,0.324
EIDW,SVMI,1556,1556,0.358,0.304
EIDW,SVMI,2244,2244,0.654,0.526
EIDW,SVMI,2304,2304,0.505,0.363
EIDW,SVMI,2091,2091,0.381,0.307
EIDW,SVMI,2057,2057,0.391,0.292
EIDW,SVMI,1410,1410,0.412,0.397
EIDW,SVMI,1555,1555,0.630,0.356
EIDW,SVMI,2194,2194,0.530,0.551
EIDW,SVMI,2027,2027,0.442,0.298
EIDW,SVMI,1341,1341,0.561,0.489
EIDW,SVMI,2115,2115,0.630,0.376
EIDW,SVMI,2103,2103,0.343,0.292
EIDW,SVMI,1995,1995,0.829,0.471
EIDW,SVMI,1537,1537,0.476,0.298
EIDW,SVMI,2033,2033,0.380,0.362
EIDW,SVMI,1519,1519,0.457,0.311
EIDW,SVMI,2269,2269,0.386,0.306
EIDW,SVMI,2029,2029,0.380,0.450
EIDW,SVMI,2077,2077,0.423,0.299
EIDW,SVMI,2287,2287,0.335,0.308
EIDW,SVMI,1985,1985,0.632,0.349
EIDW,SVMI,1413,1413,0.314,0.285
EIDW,SVMI,2042,2042,0.322,0.286
EIDW,SVMI,2160,2160,0.406,0.393
EIDW,SVMI,1516,1516,0.480,0.475
EIDW,SVMI,1605,1605,0.320,0.289
EIDW,SVMI,1429,1429,0.596,0.443
EIDW,SVMI,1514,1514,0.452,0.326
EIDW,SVMI,1478,1478,0.492,0.341
EIDW,SVMI,1993,1993,0.734,0.326
EIDW,SVMI,2113,2113,0.500,0.414
EIDW,SVMI,2045,2045,0.508,0.524
EIDW,SVMI,1596,1596,0.521,0.319
EIDW,SVMI,1534,1534,0.405,0.293
EIDW,SVMI,1889,1889,0.493,0.353
EIDW,SVMI,2150,2150,0.394,0.421
EIDW,SVMI,2035,2035,0.432,0.407
EIDW,SVMI,1424,1424,0.460,0.317
EIDW,SVMI,2060,2060,0.369,0.429
EIDW,SVMI,2060,2060,0.828,0.577
EIDW,SVMI,1856,1856,0.385,0.316
EIDW,SVMI,1596,1596,0.353,0.357
EIDW,SVMI,2250,2250,0.715,0.491
EIDW,SVMI,2040,2040,0.521,0.308
EIDW,SVMI,1469,1469,0.429,0.530
EIDW,SVMI,1978,1978,0.351,0.300
EIDW,SVMI,1456,1456,0.352,0.459
EIDW,SVMI,1463,1463,0.637,0.491
EIDW,SVMI,1460,1460,0.459,0.340
EIDW,SVMI,1503,1503,0.304,0.281
EIDW,SVMI,2113,2113,0.413,0.463
EIDW,SVMI,1311,1311,0.370,0.317
EIDW,SVMI,1624,1624,0.325,0.323
EIDW,SVMI,1415,1415,0.540,0.447
EIDW,SVMI,2092,2092,0.386,0.378
EIDW,SVMI,1606,1606,0.492,0.330
EIDW,SVMI,1686,1686,0.684,0.369
EIDW,SVMI,1220,1220,0.348,0.332
EIDW,SVMI,1658,1658,0.394,0.320
EIDW,SVMI,1486,1486,0.546,0.320
EIDW,SVMI,1823,1823,0.360,0.388
EIDW,SVMI,1538,1538,0.447,0.300
EIDW,SVMI,2017,2017,0.577,0.402
EIDW,SVMI,1995,1995,0.584,0.421
EIDW,SVMI,2091,2091,0.492,0.351
EIDW,SVMI,2313,2313,0.648,0.327
EIDW,SVMI,1343,1343,0.492,0.397
EIDW,SVMI,2236,2236,0.851,0.462
EIDW,SVMI,1989,1989,0.385,0.285
EIDW,SVMI,2011,2011,0.399,0.343
EIDW,SVMI,1931,1931,0.427,0.316
EIDW,SVMI,1890,1890,0.349,0.321
EIDW,SVMI,1607,1607,0.313,0.294
EIDW,SVMI,2188,2188,0.464,0.311
EIDW,SVMI,2078,2078,0.377,0.287
EIDW,SVMI,1308,1308,0.459,0.283
EIDW,SVMI,1523,1523,0.471,0.390
EIDW,SVMI,1565,1565,0.537,0.350
EIDW,SVMI,2257,2257,0.515,0.351
EIDW,SVMI,2239,2239,0.729,0.640
EIDW,SVMI,1683,1683,0.958,0.710
EIDW,SVMI,2083,2083,0.661,0.406
EIDW,SVMI,1637,1637,0.937,0.764
EIDW,SVMI,1325,1325,0.571,0.355
EIDW,SVMI,1592,1592,0.571,0.344
EIDW,SVMI,2129,2129,0.732,0.572
EIDW,SVMI,1675,1675,0.471,0.351
EIDW,SVMI,1392,1392,0.313,0.328
EIDW,SVMI,2004,2004,0.690,0.579
EIDW,SVMI,2040,2040,0.374,0.280
EIDW,SVMI,1512,1512,0.438,0.325
EIDW,SVMI,1574,1574,0.495,0.323
EIDW,SVMI,1642,1642,0.514,0.367
EIDW,SVMI,1599,1599,0.514,0.448
EIDW,SVMI,1561,1561,0.478,0.367
EIDW,SVMI,1591,1591,0.456,0.402
EIDW,SVMI,1925,1925,0.859,0.533
EIDW,SVMI,2070,2070,0.572,0.379
EIDW,SVMI,1621,1621,0.561,0.316
EIDW,SVMI,1984,1984,0.833,0.491
EIDW,SVMI,1964,1964,0.410,0.284
EIDW,SVMI,1846,1846,0.376,0.517
EIDW,SVMI,1357,1357,0.506,0.423
EIDW,SVMI,1968,1968,0.425,0.308
EIDW,SVMI,1980,1980,0.334,0.292
EIDW,SVMI,1506,1506,0.392,0.295
EIDW,SVMI,1397,1397,0.340,0.302
EIDW,SVMI,1417,1417,0.833,0.546
EIDW,SVMI,2132,2132,0.449,0.319
EIDW,SVMI,1875,1875,0.425,0.325
EIDW,SVMI,1551,1551,0.446,0.312
EIDW,SVMI,1442,1442,0.356,0.339
EIDW,SVMI,2048,2048,0.441,0.286
EIDW,SVMI,2035,2035,0.570,0.326
EIDW,SVMI,1941,1941,0.323,0.291
EIDW,SVMI,2276,2276,0.808,0.370
EIDW,SVMI,1678,1678,0.470,0.329
EIDW,SVMI,2219,2219,0.466,0.324
EIDW,SVMI,1681,1681,0.455,0.351
EIDW,SVMI,2316,2316,0.824,0.656
EIDW,SVMI,2030,2030,0.589,0.341
EIDW,SVMI,1657,1657,0.727,0.330
EIDW,SVMI,1658,1658,0.561,0.365
EIDW,SVMI,2045,2045,0.819,0.514
EIDW,SVMI,2073,2073,0.705,0.424
EIDW,SVMI,2004,2004,0.440,0.365
EIDW,SVMI,2138,2138,0.454,0.395
EIDW,SVMI,1711,1711,0.530,0.309
EIDW,SVMI,2044,2044,0.821,0.576
EIDW,SVMI,1444,1444,0.450,0.369
EIDW,SVMI,2153,2153,0.943,0.387
EIDW,SVMI,1908,1908,0.758,0.616
EIDW,SVMI,1378,1378,0.785,0.431
EIDW,SVMI,2196,2196,0.815,0.683
EIDW,SVMI,2030,2030,1.014,0.660
EIDW,SVMI,2306,2306,0.846,0.573
EIDW,SVMI,1333,1333,0.486,0.343
EIDW,SVMI,1920,1920,0.804,0.559
EIDW,SVMI,2175,2175,0.825,0.598
EIDW,SVMI,1988,1988,0.443,0.316
EIDW,SVMI,2054,2054,0.638,0.415
EIDW,SVMI,2008,2008,0.513,0.315
EIDW,SVMI,1451,1451,0.361,0.288
EIDW,SVMI,2047,2047,0.673,0.484
EIDW,SVMI,1306,1306,0.358,0.323
EIDW,SVMI,2074,2074,0.486,0.366
EIDW,SVMI,1648,1648,0.462,0.370
EIDW,SVMI,1545,1545,0.614,0.349
EIDW,SVMI,1613,1613,0.634,0.352
EIDW,SVMI,2085,2085,0.583,0.311
EIDW,SVMI,2073,2073,0.383,0.319
EIDW,SVMI,2020,2020,0.617,0.492
EIDW,SVMI,2068,2068,0.616,0.496
EIDW,SVMI,1734,1734,0.337,0.313
EIDW,SVMI,2231,2231,0.612,0.466
EIDW,SVMI,2149,2149,0.419,0.310
EIDW,SVMI,2019,2019,0.327,0.289
EIDW,SVMI,1323,1323,0.756,0.579
EIDW,SVMI,2102,2102,0.405,0.318
EIDW,SVMI,1569,1569,0.480,0.438
EIDW,SVMI,2010,2010,0.346,0.279
EIDW,SVMI,2202,2202,0.433,0.314
EIDW,SVMI,1322,1322,0.572,0.439
EIDW,SVMI,1940,1940,0.657,0.402
EIDW,SVMI,1557,1557,0.447,0.312
EIDW,SVMI,2109,2109,0.469,0.394
EIDW,SVMI,1543,1543,0.417,0.306
EIDW,SVMI,1237,1237,0.575,0.350
EIDW,SVMI,2193,2193,0.345,0.310
EIDW,SVMI,1834,1834,0.488,0.523
EIDW,SVMI,1375,1375,0.402,0.315
EIDW,SVMI,2002,2002,0.430,0.376
EIDW,SVMI,2147,2147,0.412,0.323
EIDW,SVMI,1997,1997,0.337,0.294
EIDW,SVMI,1974,1974,0.357,0.322
