Origin,Destination,N_flights,Flight_time,Wait_time,Total_time,Exec_time
LDZA,ESKN,2,1092,218,1310,0.532
LDZA,ESKN,2,1150,78,1228,0.460
LDZA,ESKN,2,1166,269,1435,0.487
LDZA,ESKN,1,604,245,849,0.479
LDZA,ESKN,2,1091,407,1498,0.603
LDZA,ESKN,1,608,580,1188,0.555
LDZA,ESKN,2,1154,146,1300,0.767
LDZA,ESKN,2,1151,238,1389,0.649
LDZA,ESKN,1,604,198,802,0.579
LDZA,ESKN,1,604,423,1027,0.643
LDZA,ESKN,2,1150,126,1276,0.422
LDZA,ESKN,2,1155,279,1434,0.528
LDZA,ESKN,2,1155,427,1582,0.456
LDZA,ESKN,2,1267,120,1387,0.379
LDZA,ESKN,2,1154,254,1408,0.740
LDZA,ESKN,2,1158,140,1298,0.447
LDZA,ESKN,2,1092,348,1440,0.749
LDZA,ESKN,2,1092,99,1191,0.903
LDZA,ESKN,2,1155,122,1277,0.496
LDZA,ESKN,1,604,93,697,0.482
LDZA,ESKN,2,1151,406,1557,0.563
LDZA,ESKN,1,608,87,695,0.564
LDZA,ESKN,2,1157,302,1459,0.519
LDZA,ESKN,1,608,722,1330,0.485
LDZA,ESKN,2,1151,242,1393,0.498
LDZA,ESKN,2,1153,149,1302,0.568
LDZA,ESKN,2,1151,306,1457,0.470
LDZA,ESKN,2,1158,230,1388,0.435
LDZA,ESKN,1,604,64,668,0.408
LDZA,ESKN,1,608,473,1081,0.721
LDZA,ESKN,1,604,406,1010,0.429
LDZA,ESKN,2,1150,106,1256,0.458
LDZA,ESKN,1,608,737,1345,0.467
LDZA,ESKN,2,1151,246,1397,0.577
LDZA,ESKN,2,1151,370,1521,0.519
LDZA,ESKN,1,604,455,1059,0.572
LDZA,ESKN,1,604,160,764,0.471
LDZA,ESKN,2,1154,107,1261,0.449
LDZA,ESKN,2,1161,193,1354,0.429
LDZA,ESKN,2,1147,378,1525,0.454
LDZA,ESKN,2,1092,269,1361,0.493
LDZA,ESKN,1,608,445,1053,0.456
LDZA,ESKN,2,1150,380,1530,0.412
LDZA,ESKN,2,1158,244,1402,0.491
LDZA,ESKN,2,1154,214,1368,0.586
LDZA,ESKN,2,1151,140,1291,0.425
LDZA,ESKN,2,1150,190,1340,0.466
LDZA,ESKN,1,604,471,1075,0.819
LDZA,ESKN,1,608,138,746,0.807
LDZA,ESKN,1,608,511,1119,0.801
LDZA,ESKN,1,608,388,996,0.519
LDZA,ESKN,1,608,245,853,0.535
LDZA,ESKN,1,604,271,875,0.426
LDZA,ESKN,2,1153,168,1321,0.483
LDZA,ESKN,2,1091,335,1426,0.506
LDZA,ESKN,1,604,438,1042,0.421
LDZA,ESKN,2,1147,219,1366,0.458
LDZA,ESKN,2,1150,271,1421,0.419
LDZA,ESKN,2,1157,309,1466,0.553
LDZA,ESKN,2,1151,310,1461,0.559
LDZA,ESKN,2,1150,355,1505,0.508
LDZA,ESKN,1,608,804,1412,0.440
LDZA,ESKN,2,1151,179,1330,0.411
LDZA,ESKN,1,604,480,1084,0.397
LDZA,ESKN,1,608,639,1247,0.450
LDZA,ESKN,2,1092,282,1374,0.490
LDZA,ESKN,2,1166,291,1457,0.675
LDZA,ESKN,2,1155,220,1375,0.734
LDZA,ESKN,1,608,560,1168,0.474
LDZA,ESKN,1,604,575,1179,0.445
LDZA,ESKN,2,1158,128,1286,0.463
LDZA,ESKN,2,1157,31,1188,0.456
LDZA,ESKN,1,604,298,902,0.429
LDZA,ESKN,2,1144,187,1331,0.504
LDZA,ESKN,2,1147,239,1386,0.448
LDZA,ESKN,2,1144,243,1387,0.446
LDZA,ESKN,1,604,406,1010,0.764
LDZA,ESKN,2,1150,221,1371,0.482
LDZA,ESKN,2,1151,224,1375,0.497
LDZA,ESKN,1,608,408,1016,0.458
LDZA,ESKN,2,1092,255,1347,0.756
LDZA,ESKN,2,1147,182,1329,0.873
LDZA,ESKN,2,1092,284,1376,0.472
LDZA,ESKN,1,604,371,975,0.462
LDZA,ESKN,2,1091,374,1465,0.532
LDZA,ESKN,1,604,233,837,0.447
LDZA,ESKN,2,1092,220,1312,0.675
LDZA,ESKN,2,1091,351,1442,0.489
LDZA,ESKN,1,608,302,910,0.356
LDZA,ESKN,1,604,689,1293,0.439
LDZA,ESKN,2,1151,108,1259,0.418
LDZA,ESKN,1,608,594,1202,0.465
LDZA,ESKN,2,1157,279,1436,0.464
LDZA,ESKN,2,1092,178,1270,0.459
LDZA,ESKN,2,1151,199,1350,0.487
LDZA,ESKN,2,1147,34,1181,0.525
LDZA,ESKN,2,1153,154,1307,0.479
LDZA,ESKN,2,1150,87,1237,0.549
LDZA,ESKN,2,1158,174,1332,0.475
LDZA,ESKN,2,1267,140,1407,0.584
LDZA,ESKN,2,1150,87,1237,0.461
LDZA,ESKN,1,604,46,650,0.429
LDZA,ESKN,2,1144,39,1183,0.480
LDZA,ESKN,1,608,542,1150,0.441
LDZA,ESKN,2,1144,168,1312,0.534
LDZA,ESKN,2,1157,57,1214,0.525
LDZA,ESKN,1,608,675,1283,0.463
LDZA,ESKN,1,608,560,1168,0.462
LDZA,ESKN,1,604,203,807,0.446
LDZA,ESKN,2,1150,92,1242,0.449
LDZA,ESKN,2,1158,164,1322,0.481
LDZA,ESKN,2,1155,405,1560,0.400
LDZA,ESKN,2,1150,201,1351,0.477
LDZA,ESKN,1,604,97,701,0.550
LDZA,ESKN,2,1150,366,1516,0.769
LDZA,ESKN,1,608,234,842,0.573
LDZA,ESKN,2,1163,409,1572,0.488
LDZA,ESKN,2,1155,270,1425,0.468
LDZA,ESKN,2,1150,208,1358,0.528
LDZA,ESKN,1,604,306,910,0.371
LDZA,ESKN,2,1144,82,1226,0.502
LDZA,ESKN,2,1154,210,1364,0.518
LDZA,ESKN,2,1150,230,1380,0.704
LDZA,ESKN,2,1150,329,1479,0.590
LDZA,ESKN,2,1166,229,1395,0.481
LDZA,ESKN,2,1097,274,1371,0.824
LDZA,ESKN,2,1155,385,1540,0.887
LDZA,ESKN,2,1267,71,1338,0.826
LDZA,ESKN,2,1144,137,1281,0.448
LDZA,ESKN,1,604,480,1084,0.453
LDZA,ESKN,1,608,202,810,0.454
LDZA,ESKN,1,608,311,919,0.598
LDZA,ESKN,1,608,484,1092,0.456
LDZA,ESKN,2,1157,305,1462,0.461
LDZA,ESKN,1,608,278,886,0.513
LDZA,ESKN,1,604,382,986,0.445
LDZA,ESKN,2,1151,113,1264,0.441
LDZA,ESKN,2,1155,405,1560,0.349
LDZA,ESKN,2,1154,189,1343,0.468
LDZA,ESKN,2,1147,55,1202,0.520
LDZA,ESKN,2,1144,199,1343,0.633
LDZA,ESKN,2,1150,196,1346,0.651
LDZA,ESKN,2,1091,348,1439,0.623
LDZA,ESKN,2,1150,88,1238,0.634
LDZA,ESKN,2,1151,199,1350,0.513
LDZA,ESKN,2,1144,210,1354,0.524
LDZA,ESKN,1,604,151,755,0.544
LDZA,ESKN,2,1144,250,1394,0.453
LDZA,ESKN,2,1150,89,1239,0.788
LDZA,ESKN,2,1166,135,1301,0.865
LDZA,ESKN,2,1144,290,1434,0.763
LDZA,ESKN,1,608,39,647,0.757
LDZA,ESKN,2,1158,88,1246,0.470
LDZA,ESKN,2,1158,224,1382,0.774
LDZA,ESKN,2,1157,73,1230,0.526
LDZA,ESKN,2,1144,122,1266,0.510
LDZA,ESKN,2,1151,186,1337,0.485
LDZA,ESKN,1,604,18,622,0.465
LDZA,ESKN,1,604,388,992,0.495
LDZA,ESKN,2,1092,362,1454,0.537
LDZA,ESKN,1,608,607,1215,0.919
LDZA,ESKN,2,1144,256,1400,0.654
LDZA,ESKN,1,608,446,1054,0.615
LDZA,ESKN,1,604,460,1064,0.443
LDZA,ESKN,2,1144,210,1354,0.472
LDZA,ESKN,2,1158,81,1239,0.706
LDZA,ESKN,2,1144,306,1450,0.504
LDZA,ESKN,2,1144,213,1357,0.472
LDZA,ESKN,2,1144,76,1220,0.550
LDZA,ESKN,1,608,468,1076,0.700
LDZA,ESKN,2,1147,172,1319,0.566
LDZA,ESKN,2,1158,97,1255,0.462
LDZA,ESKN,1,608,289,897,0.537
LDZA,ESKN,2,1092,208,1300,0.697
LDZA,ESKN,2,1158,87,1245,0.518
LDZA,ESKN,1,608,164,772,0.452
LDZA,ESKN,2,1091,294,1385,0.484
LDZA,ESKN,2,1163,442,1605,0.451
LDZA,ESKN,2,1158,100,1258,0.500
LDZA,ESKN,2,1155,341,1496,0.445
LDZA,ESKN,2,1092,171,1263,0.688
LDZA,ESKN,1,604,572,1176,0.378
LDZA,ESKN,1,604,237,841,0.525
LDZA,ESKN,2,1144,41,1185,0.523
LDZA,ESKN,2,1166,198,1364,0.479
LDZA,ESKN,2,1166,337,1503,0.477
LDZA,ESKN,2,1153,230,1383,0.502
LDZA,ESKN,2,1151,275,1426,0.668
LDZA,ESKN,1,604,108,712,0.645
LDZA,ESKN,1,608,203,811,0.548
LDZA,ESKN,2,1166,217,1383,0.457
LDZA,ESKN,2,1155,256,1411,0.507
LDZA,ESKN,2,1144,150,1294,0.507
LDZA,ESKN,2,1155,346,1501,0.834
LDZA,ESKN,1,608,256,864,0.797
LDZA,ESKN,1,608,389,997,0.498
LDZA,ESKN,1,608,406,1014,0.514
LDZA,ESKN,2,1144,298,1442,0.424
LDZA,ESKN,1,608,676,1284,0.440
LDZA,ESKN,2,1092,123,1215,0.821
LDZA,ESKN,1,604,397,1001,0.820
LDZA,ESKN,1,608,552,1160,0.595
LDZA,ESKN,2,1092,128,1220,0.474
LDZA,ESKN,2,1150,206,1356,0.450
LDZA,ESKN,1,608,299,907,0.487
LDZA,ESKN,1,604,52,656,0.754
LDZA,ESKN,1,608,482,1090,0.521
LDZA,ESKN,2,1144,192,1336,0.767
LDZA,ESKN,2,1267,208,1475,0.453
LDZA,ESKN,2,1144,56,1200,0.454
LDZA,ESKN,2,1154,137,1291,0.528
LDZA,ESKN,2,1267,71,1338,0.475
LDZA,ESKN,1,604,114,718,0.797
LDZA,ESKN,2,1155,296,1451,0.534
LDZA,ESKN,2,1161,224,1385,0.339
LDZA,ESKN,1,604,118,722,0.441
LDZA,ESKN,2,1092,362,1454,0.798
LDZA,ESKN,2,1158,140,1298,0.798
LDZA,ESKN,2,1155,321,1476,0.780
LDZA,ESKN,1,604,100,704,0.454
LDZA,ESKN,2,1163,336,1499,0.466
LDZA,ESKN,1,604,17,621,0.436
LDZA,ESKN,2,1150,103,1253,0.509
LDZA,ESKN,1,608,192,800,0.451
LDZA,ESKN,2,1144,294,1438,0.470
LDZA,ESKN,2,1147,61,1208,0.814
LDZA,ESKN,2,1150,141,1291,0.453
LDZA,ESKN,1,608,376,984,0.493
LDZA,ESKN,1,608,367,975,0.811
LDZA,ESKN,2,1144,104,1248,0.676
LDZA,ESKN,1,608,7,615,0.377
LDZA,ESKN,2,1151,127,1278,0.478
LDZA,ESKN,1,604,387,991,0.489
LDZA,ESKN,1,608,414,1022,0.798
LDZA,ESKN,2,1166,226,1392,0.723
LDZA,ESKN,1,604,546,1150,0.509
LDZA,ESKN,1,604,287,891,0.480
LDZA,ESKN,1,604,574,1178,0.402
LDZA,ESKN,2,1154,137,1291,0.453
LDZA,ESKN,1,608,137,745,0.437
LDZA,ESKN,1,604,377,981,0.456
LDZA,ESKN,2,1147,112,1259,0.510
LDZA,ESKN,2,1166,127,1293,0.429
LDZA,ESKN,2,1092,225,1317,0.516
LDZA,ESKN,2,1151,246,1397,0.440
LDZA,ESKN,1,604,670,1274,0.564
