Origin,Destination,Total_time1,Total_time2,Exec_time1,Exec_time2
EDDI,LBSF,1080,1080,0.634,0.391
EDDI,LBSF,995,995,0.689,0.367
EDDI,LBSF,657,657,0.878,0.606
EDDI,LBSF,1560,1560,0.503,0.416
EDDI,LBSF,1162,1162,0.927,0.744
EDDI,LBSF,1042,1042,0.847,0.570
EDDI,LBSF,1454,1454,0.787,0.613
EDDI,LBSF,1408,1408,0.594,0.602
EDDI,LBSF,959,959,0.899,0.723
EDDI,LBSF,1544,1544,0.593,0.385
EDDI,LBSF,1444,1444,0.801,0.851
EDDI,LBSF,1218,1218,0.728,0.515
EDDI,LBSF,1315,1315,0.554,0.504
EDDI,LBSF,1060,1060,0.880,0.656
EDDI,LBSF,1387,1387,0.940,0.578
EDDI,LBSF,1233,1233,0.554,0.384
EDDI,LBSF,1458,1458,0.708,0.590
EDDI,LBSF,1537,1537,0.955,0.615
EDDI,LBSF,1224,1224,0.702,0.429
EDDI,LBSF,1539,1539,0.728,0.375
EDDI,LBSF,1239,1239,0.535,0.307
EDDI,LBSF,1277,1277,0.913,0.579
EDDI,LBSF,1224,1224,0.773,0.597
EDDI,LBSF,1509,1509,0.890,0.546
EDDI,LBSF,712,712,0.876,0.626
EDDI,LBSF,1357,1357,0.810,0.604
EDDI,LBSF,776,776,0.832,0.610
EDDI,LBSF,764,764,0.910,0.858
EDDI,LBSF,878,878,0.833,0.626
EDDI,LBSF,1548,1548,0.871,0.667
EDDI,LBSF,1500,1500,0.904,0.644
EDDI,LBSF,1087,1087,0.923,0.714
EDDI,LBSF,1323,1323,0.787,0.617
EDDI,LBSF,1065,1065,0.805,0.577
EDDI,LBSF,1322,1322,0.503,0.355
EDDI,LBSF,1237,1237,0.834,0.588
EDDI,LBSF,1324,1324,0.927,0.694
EDDI,LBSF,800,800,0.589,0.435
EDDI,LBSF,1544,1544,0.698,0.363
EDDI,LBSF,1219,1219,0.469,0.307
EDDI,LBSF,1501,1501,0.687,0.349
EDDI,LBSF,1457,1457,0.809,0.670
EDDI,LBSF,1084,1084,0.783,0.501
EDDI,LBSF,1263,1263,0.478,0.370
EDDI,LBSF,1047,1047,0.893,0.617
EDDI,LBSF,1358,1358,0.893,0.398
EDDI,LBSF,726,726,0.637,0.435
EDDI,LBSF,1346,1346,0.738,0.344
EDDI,LBSF,1439,1439,0.519,0.332
EDDI,LBSF,1439,1439,0.521,0.300
EDDI,LBSF,1317,1317,0.856,0.612
EDDI,LBSF,888,888,0.672,0.397
EDDI,LBSF,668,668,0.530,0.391
EDDI,LBSF,1524,1524,0.466,0.519
EDDI,LBSF,893,893,0.456,0.310
EDDI,LBSF,1514,1514,0.856,0.640
EDDI,LBSF,1167,1167,0.836,0.741
EDDI,LBSF,1509,1509,0.856,0.592
EDDI,LBSF,1329,1329,0.818,0.704
EDDI,LBSF,1556,1556,0.912,0.683
EDDI,LBSF,1266,1266,0.558,0.585
EDDI,LBSF,864,864,0.797,0.638
EDDI,LBSF,1309,1309,0.700,0.327
EDDI,LBSF,763,763,0.480,0.359
EDDI,LBSF,1595,1595,0.461,0.353
EDDI,LBSF,1164,1164,0.825,0.693
EDDI,LBSF,1430,1430,0.454,0.311
EDDI,LBSF,1469,1469,0.885,0.560
EDDI,LBSF,1199,1199,0.503,0.349
EDDI,LBSF,1059,1059,0.701,0.470
EDDI,LBSF,860,860,0.872,0.662
EDDI,LBSF,1309,1309,0.695,0.661
EDDI,LBSF,1334,1334,0.473,0.339
EDDI,LBSF,697,697,0.800,0.701
EDDI,LBSF,1327,1327,0.760,0.506
EDDI,LBSF,1249,1249,0.475,0.339
EDDI,LBSF,1084,1084,0.516,0.345
EDDI,LBSF,1583,1583,0.483,0.331
EDDI,LBSF,1295,1295,0.760,0.473
EDDI,LBSF,982,982,0.900,0.802
EDDI,LBSF,1121,1121,0.669,0.377
EDDI,LBSF,1514,1514,0.947,0.676
EDDI,LBSF,1533,1533,0.444,0.296
EDDI,LBSF,1448,1448,0.474,0.500
EDDI,LBSF,1536,1536,0.458,0.333
EDDI,LBSF,1274,1274,0.329,0.422
EDDI,LBSF,1426,1426,0.546,0.522
EDDI,LBSF,1528,1528,0.480,0.350
EDDI,LBSF,1426,1426,0.353,0.308
EDDI,LBSF,1264,1264,0.362,0.440
EDDI,LBSF,1079,1079,0.781,0.514
EDDI,LBSF,1157,1157,0.427,0.298
EDDI,LBSF,1472,1472,0.824,0.646
EDDI,LBSF,922,922,0.552,0.295
EDDI,LBSF,1480,1480,0.824,0.612
EDDI,LBSF,1044,1044,0.429,0.334
EDDI,LBSF,1337,1337,0.420,0.380
EDDI,LBSF,933,933,0.539,0.406
EDDI,LBSF,1434,1434,0.376,0.328
EDDI,LBSF,771,771,0.561,0.346
EDDI,LBSF,1553,1553,0.471,0.358
EDDI,LBSF,1474,1474,0.489,0.357
EDDI,LBSF,1360,1360,0.794,0.437
EDDI,LBSF,1199,1199,0.483,0.300
EDDI,LBSF,1272,1272,0.667,0.497
EDDI,LBSF,1601,1601,0.797,0.648
EDDI,LBSF,1269,1269,0.609,0.390
EDDI,LBSF,954,954,0.512,0.345
EDDI,LBSF,1420,1420,0.729,0.356
EDDI,LBSF,912,912,0.508,0.429
EDDI,LBSF,1338,1338,0.732,0.454
EDDI,LBSF,1066,1066,0.505,0.311
EDDI,LBSF,1416,1416,0.775,0.729
EDDI,LBSF,1386,1386,0.853,0.609
EDDI,LBSF,1233,1233,0.919,0.814
EDDI,LBSF,1659,1659,0.836,0.553
EDDI,LBSF,1050,1050,0.814,0.566
EDDI,LBSF,1336,1336,0.571,0.432
EDDI,LBSF,860,860,0.510,0.327
EDDI,LBSF,899,899,0.496,0.425
EDDI,LBSF,649,649,0.603,0.390
EDDI,LBSF,1488,1488,0.482,0.476
EDDI,LBSF,726,726,0.444,0.479
EDDI,LBSF,1358,1358,0.596,0.571
EDDI,LBSF,654,654,0.882,0.758
EDDI,LBSF,1318,1318,0.815,0.688
EDDI,LBSF,1273,1273,0.793,0.600
EDDI,LBSF,1413,1413,0.784,0.654
EDDI,LBSF,708,708,0.819,0.669
EDDI,LBSF,1423,1423,0.544,0.419
EDDI,LBSF,1142,1142,0.545,0.309
EDDI,LBSF,931,931,0.849,0.723
EDDI,LBSF,1504,1504,0.796,0.632
EDDI,LBSF,1021,1021,0.838,0.571
EDDI,LBSF,1557,1557,0.594,0.503
EDDI,LBSF,1264,1264,0.743,0.487
EDDI,LBSF,1442,1442,0.625,0.553
EDDI,LBSF,1008,1008,0.434,0.289
EDDI,LBSF,1039,1039,0.676,0.342
EDDI,LBSF,1492,1492,0.465,0.411
EDDI,LBSF,1430,1430,0.770,0.591
EDDI,LBSF,1499,1499,0.796,0.597
EDDI,LBSF,878,878,0.807,0.494
