Origin,Destination,N_flights,Flight_time,Wait_time,Total_time
SBBR,UMMS,1,1212,58,1270
SBBR,UMMS,2,1743,467,2210
SBBR,UMMS,2,1762,222,1984
SBBR,UMMS,1,1212,707,1919
SBBR,UMMS,2,1744,797,2541
SBBR,UMMS,1,1212,246,1458
SBBR,UMMS,2,1752,645,2397
SBBR,UMMS,2,1755,277,2032
SBBR,UMMS,1,1200,752,1952
SBBR,UMMS,1,1212,283,1495
SBBR,UMMS,1,1200,838,2038
SBBR,UMMS,1,1212,1082,2294
SBBR,UMMS,2,1692,432,2124
SBBR,UMMS,1,1200,358,1558
SBBR,UMMS,2,1987,619,2606
SBBR,UMMS,1,1200,211,1411
SBBR,UMMS,2,1755,317,2072
SBBR,UMMS,2,1698,186,1884
SBBR,UMMS,1,1200,383,1583
SBBR,UMMS,2,1755,157,1912
SBBR,UMMS,1,1212,159,1371
SBBR,UMMS,2,1761,616,2377
SBBR,UMMS,1,1200,196,1396
SBBR,UMMS,2,1756,438,2194
SBBR,UMMS,1,1200,361,1561
SBBR,UMMS,1,1212,575,1787
SBBR,UMMS,2,1762,437,2199
SBBR,UMMS,2,1744,582,2326
SBBR,UMMS,1,1212,84,1296
SBBR,UMMS,2,1757,508,2265
SBBR,UMMS,2,1750,243,1993
SBBR,UMMS,2,1744,571,2315
SBBR,UMMS,2,1748,764,2512
SBBR,UMMS,1,1200,1054,2254
SBBR,UMMS,1,1200,652,1852
SBBR,UMMS,1,1200,38,1238
SBBR,UMMS,1,1200,98,1298
SBBR,UMMS,1,1212,650,1862
SBBR,UMMS,2,1747,432,2179
SBBR,UMMS,1,1212,369,1581
SBBR,UMMS,2,1752,286,2038
SBBR,UMMS,2,1759,193,1952
SBBR,UMMS,2,1691,351,2042
SBBR,UMMS,2,1751,472,2223
SBBR,UMMS,2,1760,319,2079
SBBR,UMMS,2,1692,406,2098
SBBR,UMMS,2,1861,550,2411
SBBR,UMMS,2,1766,408,2174
SBBR,UMMS,2,1755,267,2022
SBBR,UMMS,2,1746,1258,3004
SBBR,UMMS,1,1200,54,1254
SBBR,UMMS,2,1755,662,2417
SBBR,UMMS,2,1746,956,2702
SBBR,UMMS,2,1758,572,2330
SBBR,UMMS,1,1200,314,1514
SBBR,UMMS,2,1875,187,2062
SBBR,UMMS,2,1746,692,2438
SBBR,UMMS,1,1212,213,1425
SBBR,UMMS,2,1766,357,2123
SBBR,UMMS,2,1702,296,1998
SBBR,UMMS,2,1999,395,2394
SBBR,UMMS,1,1200,598,1798
SBBR,UMMS,2,1695,422,2117
SBBR,UMMS,2,1746,480,2226
SBBR,UMMS,1,1200,230,1430
SBBR,UMMS,2,1756,476,2232
SBBR,UMMS,1,1212,322,1534
SBBR,UMMS,1,1200,1081,2281
SBBR,UMMS,2,1702,466,2168
SBBR,UMMS,2,1762,467,2229
SBBR,UMMS,1,1200,127,1327
SBBR,UMMS,2,1758,451,2209
SBBR,UMMS,2,1702,500,2202
SBBR,UMMS,2,1752,138,1890
SBBR,UMMS,2,1697,719,2416
SBBR,UMMS,1,1212,245,1457
SBBR,UMMS,2,1762,896,2658
SBBR,UMMS,1,1200,575,1775
SBBR,UMMS,1,1212,407,1619
SBBR,UMMS,2,1749,619,2368
SBBR,UMMS,1,1212,351,1563
SBBR,UMMS,1,1212,668,1880
SBBR,UMMS,2,1755,175,1930
SBBR,UMMS,1,1212,423,1635
SBBR,UMMS,2,1744,574,2318
SBBR,UMMS,2,1695,186,1881
SBBR,UMMS,2,1746,631,2377
SBBR,UMMS,1,1200,446,1646
SBBR,UMMS,1,1200,758,1958
SBBR,UMMS,1,1200,344,1544
SBBR,UMMS,1,1212,59,1271
SBBR,UMMS,1,1200,793,1993
SBBR,UMMS,2,1756,398,2154
SBBR,UMMS,1,1200,112,1312
SBBR,UMMS,1,1200,715,1915
SBBR,UMMS,2,1692,493,2185
SBBR,UMMS,1,1212,126,1338
SBBR,UMMS,1,1212,580,1792
SBBR,UMMS,2,1747,597,2344
SBBR,UMMS,1,1212,565,1777
SBBR,UMMS,1,1212,680,1892
SBBR,UMMS,1,1212,465,1677
SBBR,UMMS,2,1756,581,2337
SBBR,UMMS,2,1698,346,2044
SBBR,UMMS,2,1755,449,2204
SBBR,UMMS,2,1764,1054,2818
SBBR,UMMS,2,1749,54,1803
SBBR,UMMS,1,1212,709,1921
SBBR,UMMS,2,1691,495,2186
SBBR,UMMS,2,1695,169,1864
SBBR,UMMS,2,1707,454,2161
SBBR,UMMS,1,1200,7,1207
SBBR,UMMS,2,1757,1036,2793
SBBR,UMMS,1,1212,522,1734
SBBR,UMMS,2,1759,395,2154
SBBR,UMMS,2,1755,447,2202
SBBR,UMMS,1,1200,849,2049
SBBR,UMMS,2,1761,765,2526
SBBR,UMMS,2,1762,613,2375
SBBR,UMMS,1,1212,623,1835
SBBR,UMMS,1,1212,842,2054
SBBR,UMMS,2,1755,404,2159
SBBR,UMMS,3,2237,531,2768
SBBR,UMMS,1,1200,281,1481
SBBR,UMMS,1,1200,742,1942
SBBR,UMMS,2,1744,605,2349
SBBR,UMMS,2,1755,320,2075
SBBR,UMMS,1,1200,558,1758
SBBR,UMMS,2,1766,355,2121
SBBR,UMMS,2,1755,259,2014
SBBR,UMMS,1,1212,273,1485
SBBR,UMMS,2,1753,495,2248
SBBR,UMMS,1,1212,250,1462
SBBR,UMMS,2,1695,313,2008
SBBR,UMMS,1,1212,909,2121
SBBR,UMMS,2,1695,550,2245
SBBR,UMMS,1,1200,873,2073
SBBR,UMMS,2,1755,266,2021
SBBR,UMMS,2,1748,192,1940
SBBR,UMMS,1,1212,977,2189
SBBR,UMMS,2,1755,249,2004
SBBR,UMMS,1,1200,607,1807
SBBR,UMMS,2,1766,326,2092
SBBR,UMMS,2,1755,348,2103
SBBR,UMMS,1,1212,576,1788
SBBR,UMMS,1,1212,165,1377
SBBR,UMMS,2,1698,148,1846
SBBR,UMMS,1,1200,584,1784
SBBR,UMMS,1,1200,121,1321
SBBR,UMMS,2,1743,391,2134
SBBR,UMMS,1,1212,644,1856
SBBR,UMMS,2,1752,492,2244
SBBR,UMMS,2,1758,256,2014
SBBR,UMMS,2,1743,502,2245
SBBR,UMMS,1,1200,242,1442
SBBR,UMMS,2,1748,500,2248
SBBR,UMMS,2,1747,570,2317
SBBR,UMMS,1,1212,973,2185
SBBR,UMMS,2,1760,330,2090
SBBR,UMMS,1,1212,71,1283
SBBR,UMMS,2,1752,199,1951
SBBR,UMMS,2,1749,346,2095
SBBR,UMMS,1,1212,993,2205
SBBR,UMMS,2,1764,683,2447
SBBR,UMMS,1,1200,333,1533
SBBR,UMMS,1,1212,157,1369
SBBR,UMMS,2,1692,349,2041
SBBR,UMMS,2,1761,715,2476
SBBR,UMMS,1,1212,1027,2239
SBBR,UMMS,2,1746,701,2447
SBBR,UMMS,2,1755,534,2289
SBBR,UMMS,1,1200,22,1222
SBBR,UMMS,2,1741,338,2079
SBBR,UMMS,2,1698,422,2120
SBBR,UMMS,1,1200,645,1845
SBBR,UMMS,1,1212,620,1832
SBBR,UMMS,2,1749,613,2362
SBBR,UMMS,2,1861,122,1983
SBBR,UMMS,2,1759,430,2189
SBBR,UMMS,1,1212,278,1490
SBBR,UMMS,2,1692,214,1906
SBBR,UMMS,1,1212,389,1601
SBBR,UMMS,2,1760,672,2432
SBBR,UMMS,2,1759,352,2111
SBBR,UMMS,2,1746,313,2059
SBBR,UMMS,1,1212,1012,2224
SBBR,UMMS,1,1212,582,1794
SBBR,UMMS,1,1200,531,1731
SBBR,UMMS,2,1760,823,2583
SBBR,UMMS,2,1695,352,2047
SBBR,UMMS,2,1875,309,2184
SBBR,UMMS,1,1200,629,1829
SBBR,UMMS,2,1758,246,2004
SBBR,UMMS,2,1747,319,2066
SBBR,UMMS,2,1743,593,2336
SBBR,UMMS,2,1999,533,2532
SBBR,UMMS,1,1200,420,1620
SBBR,UMMS,2,1754,653,2407
SBBR,UMMS,2,1702,309,2011
SBBR,UMMS,1,1212,506,1718
SBBR,UMMS,2,1755,248,2003
SBBR,UMMS,2,1748,581,2329
SBBR,UMMS,2,1695,229,1924
SBBR,UMMS,2,1698,482,2180
SBBR,UMMS,1,1200,838,2038
SBBR,UMMS,2,1698,255,1953
SBBR,UMMS,1,1212,133,1345
SBBR,UMMS,2,1758,946,2704
SBBR,UMMS,2,1748,377,2125
SBBR,UMMS,2,1753,558,2311
SBBR,UMMS,1,1200,434,1634
SBBR,UMMS,2,1692,192,1884
SBBR,UMMS,2,1741,200,1941
SBBR,UMMS,2,1868,368,2236
SBBR,UMMS,1,1212,389,1601
SBBR,UMMS,2,1748,188,1936
SBBR,UMMS,2,1753,752,2505
SBBR,UMMS,1,1200,653,1853
SBBR,UMMS,2,1748,125,1873
SBBR,UMMS,1,1200,805,2005
SBBR,UMMS,1,1212,553,1765
SBBR,UMMS,2,1752,487,2239
SBBR,UMMS,3,2228,259,2487
SBBR,UMMS,2,1695,819,2514
SBBR,UMMS,2,1743,192,1935
SBBR,UMMS,2,1762,389,2151
SBBR,UMMS,2,1758,444,2202
SBBR,UMMS,2,1698,405,2103
SBBR,UMMS,2,1875,626,2501
SBBR,UMMS,2,1752,287,2039
SBBR,UMMS,2,1748,523,2271
SBBR,UMMS,1,1200,103,1303
SBBR,UMMS,2,1752,484,2236
SBBR,UMMS,2,1754,380,2134
SBBR,UMMS,2,1744,597,2341
SBBR,UMMS,2,1698,313,2011
SBBR,UMMS,2,1697,467,2164
SBBR,UMMS,1,1212,334,1546
SBBR,UMMS,1,1212,521,1733
SBBR,UMMS,2,1760,448,2208
SBBR,UMMS,2,1691,132,1823
SBBR,UMMS,2,1758,485,2243
SBBR,UMMS,2,1691,594,2285
SBBR,UMMS,1,1200,936,2136
SBBR,UMMS,1,1200,825,2025
SBBR,UMMS,2,1752,432,2184
SBBR,UMMS,1,1200,863,2063
SBBR,UMMS,2,1762,782,2544
SBBR,UMMS,1,1212,486,1698
SBBR,UMMS,2,1695,369,2064
SBBR,UMMS,2,1754,430,2184
SBBR,UMMS,2,1696,663,2359
SBBR,UMMS,1,1212,499,1711
SBBR,UMMS,1,1200,376,1576
SBBR,UMMS,1,1212,775,1987
SBBR,UMMS,2,1861,225,2086
SBBR,UMMS,2,1754,195,1949
SBBR,UMMS,1,1212,172,1384
SBBR,UMMS,2,1755,220,1975
SBBR,UMMS,1,1200,695,1895
SBBR,UMMS,2,1750,222,1972
SBBR,UMMS,2,1756,177,1933
SBBR,UMMS,2,1695,369,2064
SBBR,UMMS,2,1754,204,1958
SBBR,UMMS,1,1200,992,2192
SBBR,UMMS,1,1212,895,2107
SBBR,UMMS,2,1754,593,2347
SBBR,UMMS,2,1758,620,2378
SBBR,UMMS,1,1212,1092,2304
SBBR,UMMS,2,1692,289,1981
SBBR,UMMS,1,1212,7,1219
SBBR,UMMS,2,1752,636,2388
SBBR,UMMS,1,1212,406,1618
SBBR,UMMS,2,1762,217,1979
SBBR,UMMS,2,1698,307,2005
SBBR,UMMS,1,1212,385,1597
SBBR,UMMS,2,1702,139,1841
SBBR,UMMS,2,1861,74,1935
SBBR,UMMS,1,1200,706,1906
SBBR,UMMS,2,1755,562,2317
SBBR,UMMS,1,1212,598,1810
SBBR,UMMS,2,1748,548,2296
SBBR,UMMS,1,1212,1085,2297
SBBR,UMMS,3,2237,559,2796
SBBR,UMMS,2,1754,790,2544
SBBR,UMMS,1,1212,533,1745
SBBR,UMMS,2,1695,131,1826
SBBR,UMMS,2,1691,448,2139
SBBR,UMMS,1,1200,674,1874
SBBR,UMMS,2,1695,323,2018
SBBR,UMMS,2,1744,560,2304
SBBR,UMMS,1,1200,313,1513
SBBR,UMMS,2,1758,485,2243
SBBR,UMMS,2,1758,397,2155
SBBR,UMMS,1,1212,138,1350
SBBR,UMMS,1,1200,483,1683
SBBR,UMMS,1,1200,135,1335
SBBR,UMMS,1,1200,1000,2200
SBBR,UMMS,1,1200,175,1375
SBBR,UMMS,1,1200,959,2159
SBBR,UMMS,2,1697,912,2609
SBBR,UMMS,2,1752,598,2350
SBBR,UMMS,2,1758,449,2207
SBBR,UMMS,1,1200,0,1200
SBBR,UMMS,2,1742,957,2699
SBBR,UMMS,1,1200,66,1266
SBBR,UMMS,1,1200,597,1797
