Origin,Destination,N_flights,Flight_time,Wait_time,Total_time
SBBR,UMMS,2,1692,336,2028
SBBR,UMMS,2,1759,227,1986
SBBR,UMMS,2,1698,512,2210
SBBR,UMMS,2,1695,425,2120
SBBR,UMMS,2,1756,666,2422
SBBR,UMMS,2,1695,410,2105
SBBR,UMMS,2,1746,701,2447
SBBR,UMMS,2,1755,591,2346
SBBR,UMMS,1,1200,118,1318
SBBR,UMMS,2,1692,148,1840
SBBR,UMMS,2,1762,231,1993
SBBR,UMMS,2,1746,399,2145
SBBR,UMMS,1,1212,989,2201
SBBR,UMMS,1,1212,551,1763
SBBR,UMMS,1,1212,1164,2376
SBBR,UMMS,2,1755,406,2161
SBBR,UMMS,2,1751,718,2469
SBBR,UMMS,1,1200,184,1384
SBBR,UMMS,1,1212,124,1336
SBBR,UMMS,1,1200,105,1305
SBBR,UMMS,2,1691,392,2083
SBBR,UMMS,1,1212,865,2077
SBBR,UMMS,2,1755,248,2003
SBBR,UMMS,2,1746,218,1964
SBBR,UMMS,1,1200,171,1371
SBBR,UMMS,1,1212,235,1447
SBBR,UMMS,1,1200,358,1558
SBBR,UMMS,2,1744,317,2061
SBBR,UMMS,1,1200,504,1704
SBBR,UMMS,1,1212,337,1549
SBBR,UMMS,1,1212,151,1363
SBBR,UMMS,1,1212,740,1952
SBBR,UMMS,2,1751,469,2220
SBBR,UMMS,2,1875,157,2032
SBBR,UMMS,1,1200,307,1507
SBBR,UMMS,2,1752,479,2231
SBBR,UMMS,1,1200,644,1844
SBBR,UMMS,2,1702,156,1858
SBBR,UMMS,2,1755,650,2405
SBBR,UMMS,2,1753,795,2548
SBBR,UMMS,2,1698,180,1878
SBBR,UMMS,2,1762,413,2175
SBBR,UMMS,1,1212,287,1499
SBBR,UMMS,2,1751,713,2464
SBBR,UMMS,1,1200,438,1638
SBBR,UMMS,1,1200,354,1554
SBBR,UMMS,2,1743,127,1870
SBBR,UMMS,1,1212,184,1396
SBBR,UMMS,2,1868,468,2336
SBBR,UMMS,2,1982,612,2594
SBBR,UMMS,2,1752,1136,2888
SBBR,UMMS,2,1747,266,2013
SBBR,UMMS,2,1755,347,2102
SBBR,UMMS,2,1750,311,2061
SBBR,UMMS,1,1212,58,1270
SBBR,UMMS,1,1212,408,1620
SBBR,UMMS,2,1748,335,2083
SBBR,UMMS,2,1695,976,2671
SBBR,UMMS,1,1200,930,2130
SBBR,UMMS,2,1766,426,2192
SBBR,UMMS,2,1752,610,2362
SBBR,UMMS,1,1200,30,1230
SBBR,UMMS,2,1748,438,2186
SBBR,UMMS,2,1743,275,2018
SBBR,UMMS,1,1200,910,2110
SBBR,UMMS,2,1696,871,2567
SBBR,UMMS,2,1875,134,2009
SBBR,UMMS,2,1695,252,1947
SBBR,UMMS,1,1200,690,1890
SBBR,UMMS,1,1212,621,1833
SBBR,UMMS,1,1200,197,1397
SBBR,UMMS,2,1744,540,2284
SBBR,UMMS,1,1212,723,1935
SBBR,UMMS,2,1762,442,2204
SBBR,UMMS,2,1698,321,2019
SBBR,UMMS,1,1200,611,1811
SBBR,UMMS,1,1212,604,1816
SBBR,UMMS,3,2302,160,2462
SBBR,UMMS,1,1200,449,1649
SBBR,UMMS,2,1755,165,1920
SBBR,UMMS,2,1756,599,2355
SBBR,UMMS,1,1212,312,1524
SBBR,UMMS,2,1695,252,1947
SBBR,UMMS,2,1741,215,1956
SBBR,UMMS,2,1755,328,2083
SBBR,UMMS,2,1758,629,2387
SBBR,UMMS,2,1759,381,2140
SBBR,UMMS,1,1212,48,1260
SBBR,UMMS,2,1741,241,1982
SBBR,UMMS,2,1752,636,2388
SBBR,UMMS,1,1200,237,1437
SBBR,UMMS,1,1200,545,1745
SBBR,UMMS,1,1212,617,1829
SBBR,UMMS,2,1749,639,2388
SBBR,UMMS,2,1760,323,2083
SBBR,UMMS,1,1212,48,1260
SBBR,UMMS,2,1695,178,1873
SBBR,UMMS,2,1744,732,2476
SBBR,UMMS,1,1200,649,1849
SBBR,UMMS,2,1695,157,1852
SBBR,UMMS,1,1212,836,2048
SBBR,UMMS,1,1212,724,1936
SBBR,UMMS,1,1200,171,1371
SBBR,UMMS,1,1212,366,1578
SBBR,UMMS,1,1212,716,1928
SBBR,UMMS,2,1759,576,2335
SBBR,UMMS,2,1746,704,2450
SBBR,UMMS,1,1212,385,1597
SBBR,UMMS,1,1200,11,1211
SBBR,UMMS,3,2305,476,2781
SBBR,UMMS,2,1757,492,2249
SBBR,UMMS,2,1692,942,2634
SBBR,UMMS,2,1754,736,2490
SBBR,UMMS,2,1747,748,2495
SBBR,UMMS,2,1755,515,2270
SBBR,UMMS,2,1762,740,2502
SBBR,UMMS,2,1756,148,1904
SBBR,UMMS,2,1698,264,1962
SBBR,UMMS,1,1212,583,1795
SBBR,UMMS,1,1212,172,1384
SBBR,UMMS,1,1212,1393,2605
SBBR,UMMS,2,1696,982,2678
SBBR,UMMS,1,1212,412,1624
SBBR,UMMS,1,1200,844,2044
SBBR,UMMS,2,1692,132,1824
SBBR,UMMS,1,1200,656,1856
SBBR,UMMS,2,1754,544,2298
SBBR,UMMS,1,1212,117,1329
SBBR,UMMS,2,1702,455,2157
SBBR,UMMS,2,1755,365,2120
SBBR,UMMS,2,1747,81,1828
SBBR,UMMS,1,1212,120,1332
SBBR,UMMS,1,1212,368,1580
SBBR,UMMS,1,1212,679,1891
SBBR,UMMS,1,1200,936,2136
SBBR,UMMS,1,1212,362,1574
SBBR,UMMS,2,1707,486,2193
SBBR,UMMS,1,1200,447,1647
SBBR,UMMS,2,1875,270,2145
SBBR,UMMS,2,1743,485,2228
SBBR,UMMS,1,1200,522,1722
SBBR,UMMS,2,1698,462,2160
SBBR,UMMS,2,1749,316,2065
SBBR,UMMS,2,1746,175,1921
SBBR,UMMS,3,2249,332,2581
SBBR,UMMS,2,1696,753,2449
SBBR,UMMS,1,1212,717,1929
SBBR,UMMS,2,1752,512,2264
SBBR,UMMS,1,1212,76,1288
SBBR,UMMS,2,1754,624,2378
SBBR,UMMS,1,1212,336,1548
SBBR,UMMS,2,1759,173,1932
SBBR,UMMS,1,1200,573,1773
SBBR,UMMS,2,1747,140,1887
SBBR,UMMS,2,1695,312,2007
SBBR,UMMS,1,1212,39,1251
SBBR,UMMS,2,1868,309,2177
SBBR,UMMS,1,1212,76,1288
SBBR,UMMS,2,1753,548,2301
SBBR,UMMS,2,1695,477,2172
SBBR,UMMS,2,1755,358,2113
SBBR,UMMS,2,1755,418,2173
SBBR,UMMS,1,1200,944,2144
SBBR,UMMS,2,1691,399,2090
SBBR,UMMS,2,1762,430,2192
SBBR,UMMS,2,1875,85,1960
SBBR,UMMS,2,1759,182,1941
SBBR,UMMS,1,1212,696,1908
SBBR,UMMS,1,1212,586,1798
SBBR,UMMS,2,1755,534,2289
SBBR,UMMS,2,1762,320,2082
SBBR,UMMS,2,1754,594,2348
SBBR,UMMS,2,1754,422,2176
SBBR,UMMS,2,1751,673,2424
SBBR,UMMS,2,1751,833,2584
SBBR,UMMS,2,1761,599,2360
SBBR,UMMS,2,1749,254,2003
SBBR,UMMS,2,1757,735,2492
SBBR,UMMS,2,1747,110,1857
SBBR,UMMS,2,1757,685,2442
SBBR,UMMS,2,1755,857,2612
SBBR,UMMS,1,1212,1161,2373
SBBR,UMMS,1,1212,597,1809
SBBR,UMMS,2,1749,589,2338
SBBR,UMMS,1,1200,161,1361
SBBR,UMMS,2,1695,231,1926
SBBR,UMMS,2,1759,144,1903
SBBR,UMMS,2,1695,365,2060
SBBR,UMMS,2,1756,209,1965
SBBR,UMMS,2,1754,514,2268
SBBR,UMMS,2,1875,273,2148
SBBR,UMMS,1,1212,701,1913
SBBR,UMMS,2,1758,477,2235
SBBR,UMMS,2,1757,490,2247
SBBR,UMMS,1,1200,551,1751
