Origin,Destination,Total_time1,Total_time2,Exec_time1,Exec_time2
EIDW,EBCI,1391,1391,0.527,0.347
EIDW,EBCI,716,716,0.316,0.306
EIDW,EBCI,1534,1534,0.488,0.330
EIDW,EBCI,1420,1420,0.554,0.447
EIDW,EBCI,920,920,0.416,0.280
EIDW,EBCI,1392,1392,0.287,0.268
EIDW,EBCI,1072,1072,0.401,0.415
EIDW,EBCI,785,785,0.582,0.476
EIDW,EBCI,1245,1245,0.427,0.324
EIDW,EBCI,1325,1325,0.319,0.275
EIDW,EBCI,920,920,0.279,0.289
EIDW,EBCI,811,811,0.582,0.505
EIDW,EBCI,837,837,0.678,0.608
EIDW,EBCI,1237,1237,0.773,0.460
EIDW,EBCI,1233,1233,0.443,0.373
EIDW,EBCI,1250,1250,0.365,0.338
EIDW,EBCI,657,657,0.358,0.306
EIDW,EBCI,1015,1015,0.339,0.278
EIDW,EBCI,1254,1254,0.658,0.486
EIDW,EBCI,1437,1437,0.587,0.484
EIDW,EBCI,1342,1342,0.385,0.287
EIDW,EBCI,1298,1298,0.280,0.308
EIDW,EBCI,834,834,0.842,0.580
EIDW,EBCI,657,657,0.621,0.427
EIDW,EBCI,1408,1408,0.310,0.293
EIDW,EBCI,967,967,0.350,0.311
EIDW,EBCI,1200,1200,0.306,0.298
EIDW,EBCI,1340,1340,0.321,0.304
EIDW,EBCI,1339,1339,0.377,0.359
EIDW,EBCI,636,636,0.477,0.375
EIDW,EBCI,923,923,0.680,0.431
EIDW,EBCI,738,738,0.588,0.337
EIDW,EBCI,893,893,0.321,0.327
EIDW,EBCI,1358,1358,0.327,0.300
EIDW,EBCI,1216,1216,0.282,0.274
EIDW,EBCI,869,869,0.359,0.305
EIDW,EBCI,777,777,0.384,0.461
EIDW,EBCI,1057,1057,0.638,0.514
EIDW,EBCI,893,893,0.750,0.361
EIDW,EBCI,1032,1032,0.450,0.312
EIDW,EBCI,1317,1317,0.311,0.294
EIDW,EBCI,994,994,0.289,0.304
EIDW,EBCI,1389,1389,0.281,0.262
EIDW,EBCI,1162,1162,0.268,0.258
EIDW,EBCI,1370,1370,0.533,0.479
EIDW,EBCI,1443,1443,0.499,0.484
EIDW,EBCI,1276,1276,0.330,0.282
EIDW,EBCI,986,986,0.356,0.356
EIDW,EBCI,1226,1226,0.495,0.364
EIDW,EBCI,998,998,0.570,0.396
EIDW,EBCI,982,982,0.365,0.302
EIDW,EBCI,1176,1176,0.272,0.258
EIDW,EBCI,1391,1391,0.384,0.369
EIDW,EBCI,1364,1364,0.563,0.436
EIDW,EBCI,755,755,0.591,0.300
EIDW,EBCI,883,883,0.398,0.367
EIDW,EBCI,1246,1246,0.342,0.300
EIDW,EBCI,1125,1125,0.346,0.470
EIDW,EBCI,669,669,0.529,0.446
EIDW,EBCI,1256,1256,0.398,0.388
EIDW,EBCI,732,732,0.399,0.320
EIDW,EBCI,868,868,0.385,0.343
EIDW,EBCI,1469,1469,0.681,0.335
EIDW,EBCI,802,802,0.359,0.301
EIDW,EBCI,1295,1295,0.380,0.328
EIDW,EBCI,1327,1327,0.316,0.276
EIDW,EBCI,979,979,0.284,0.293
EIDW,EBCI,1369,1369,0.510,0.396
EIDW,EBCI,1454,1454,0.394,0.282
EIDW,EBCI,1450,1450,0.318,0.323
EIDW,EBCI,670,670,0.375,0.476
EIDW,EBCI,1335,1335,0.701,0.594
EIDW,EBCI,1473,1473,0.464,0.415
EIDW,EBCI,681,681,0.714,0.546
EIDW,EBCI,757,757,0.762,0.502
EIDW,EBCI,1302,1302,0.407,0.331
EIDW,EBCI,1347,1347,0.318,0.303
EIDW,EBCI,934,934,0.309,0.300
EIDW,EBCI,697,697,0.480,0.439
EIDW,EBCI,1489,1489,0.400,0.276
EIDW,EBCI,1435,1435,0.489,0.377
EIDW,EBCI,1330,1330,0.340,0.304
EIDW,EBCI,814,814,0.287,0.264
EIDW,EBCI,989,989,0.443,0.436
EIDW,EBCI,1373,1373,0.359,0.502
EIDW,EBCI,1361,1361,0.406,0.418
EIDW,EBCI,1334,1334,0.320,0.303
EIDW,EBCI,1369,1369,0.476,0.458
EIDW,EBCI,1037,1037,0.660,0.491
EIDW,EBCI,1008,1008,0.727,0.496
EIDW,EBCI,1238,1238,0.500,0.327
EIDW,EBCI,1312,1312,0.325,0.316
EIDW,EBCI,1062,1062,0.298,0.280
EIDW,EBCI,1282,1282,0.314,0.294
EIDW,EBCI,1018,1018,0.345,0.379
EIDW,EBCI,1274,1274,0.365,0.360
EIDW,EBCI,911,911,0.377,0.335
EIDW,EBCI,1482,1482,0.377,0.300
EIDW,EBCI,968,968,0.390,0.310
EIDW,EBCI,787,787,0.356,0.441
EIDW,EBCI,632,632,0.456,0.488
EIDW,EBCI,1270,1270,0.446,0.284
EIDW,EBCI,1313,1313,0.346,0.308
EIDW,EBCI,1023,1023,0.288,0.275
EIDW,EBCI,823,823,0.628,0.546
EIDW,EBCI,1484,1484,0.431,0.320
EIDW,EBCI,803,803,0.283,0.308
EIDW,EBCI,1170,1170,0.290,0.275
EIDW,EBCI,1324,1324,0.317,0.294
EIDW,EBCI,1317,1317,0.461,0.380
EIDW,EBCI,1269,1269,0.364,0.297
EIDW,EBCI,1427,1427,0.538,0.308
EIDW,EBCI,1186,1186,0.449,0.293
EIDW,EBCI,710,710,0.428,0.622
EIDW,EBCI,1037,1037,0.900,0.523
EIDW,EBCI,1423,1423,0.440,0.294
EIDW,EBCI,1163,1163,0.354,0.292
EIDW,EBCI,1417,1417,0.393,0.498
EIDW,EBCI,1312,1312,0.753,0.453
EIDW,EBCI,765,765,0.366,0.273
EIDW,EBCI,855,855,0.584,0.583
EIDW,EBCI,885,885,0.791,0.581
EIDW,EBCI,1216,1216,0.560,0.372
EIDW,EBCI,1087,1087,0.424,0.389
EIDW,EBCI,804,804,0.486,0.368
EIDW,EBCI,1303,1303,0.357,0.295
EIDW,EBCI,858,858,0.755,0.607
EIDW,EBCI,1435,1435,0.319,0.279
EIDW,EBCI,1375,1375,0.648,0.571
EIDW,EBCI,618,618,0.616,0.503
EIDW,EBCI,1257,1257,0.373,0.274
EIDW,EBCI,754,754,0.294,0.279
EIDW,EBCI,1050,1050,0.277,0.297
EIDW,EBCI,803,803,0.318,0.275
EIDW,EBCI,829,829,0.311,0.318
EIDW,EBCI,669,669,0.336,0.261
EIDW,EBCI,626,626,0.349,0.466
EIDW,EBCI,927,927,0.486,0.295
EIDW,EBCI,1403,1403,0.308,0.358
EIDW,EBCI,1274,1274,0.273,0.256
EIDW,EBCI,712,712,0.489,0.441
EIDW,EBCI,1422,1422,0.622,0.504
EIDW,EBCI,749,749,0.324,0.276
EIDW,EBCI,697,697,0.263,0.304
EIDW,EBCI,671,671,0.498,0.337
EIDW,EBCI,705,705,0.467,0.373
EIDW,EBCI,1533,1533,0.496,0.344
EIDW,EBCI,1282,1282,0.332,0.292
EIDW,EBCI,727,727,0.638,0.595
EIDW,EBCI,815,815,0.913,0.538
EIDW,EBCI,888,888,0.494,0.437
EIDW,EBCI,861,861,0.308,0.347
EIDW,EBCI,960,960,0.567,0.493
EIDW,EBCI,1411,1411,0.976,0.625
EIDW,EBCI,951,951,0.743,0.485
EIDW,EBCI,949,949,0.732,0.624
EIDW,EBCI,1301,1301,0.765,0.587
EIDW,EBCI,1354,1354,0.716,0.582
EIDW,EBCI,1343,1343,0.657,0.337
EIDW,EBCI,755,755,0.397,0.278
EIDW,EBCI,1458,1458,0.315,0.292
EIDW,EBCI,1364,1364,0.301,0.295
EIDW,EBCI,1430,1430,0.325,0.422
EIDW,EBCI,928,928,0.363,0.306
EIDW,EBCI,1267,1267,0.361,0.305
EIDW,EBCI,951,951,0.372,0.313
EIDW,EBCI,1203,1203,0.272,0.258
EIDW,EBCI,908,908,0.292,0.446
EIDW,EBCI,1364,1364,0.798,0.568
EIDW,EBCI,1344,1344,0.358,0.262
EIDW,EBCI,1464,1464,0.284,0.333
EIDW,EBCI,868,868,0.346,0.443
EIDW,EBCI,1462,1462,0.485,0.299
EIDW,EBCI,1464,1464,0.601,0.438
EIDW,EBCI,1214,1214,0.385,0.308
EIDW,EBCI,1349,1349,0.433,0.405
EIDW,EBCI,1287,1287,0.697,0.440
EIDW,EBCI,1270,1270,0.374,0.266
EIDW,EBCI,1159,1159,0.285,0.260
EIDW,EBCI,828,828,0.308,0.273
EIDW,EBCI,1335,1335,0.416,0.312
EIDW,EBCI,1496,1496,0.404,0.453
EIDW,EBCI,746,746,0.315,0.274
EIDW,EBCI,1517,1517,0.337,0.315
EIDW,EBCI,854,854,0.296,0.433
EIDW,EBCI,1333,1333,0.387,0.292
EIDW,EBCI,1484,1484,0.421,0.285
EIDW,EBCI,634,634,0.578,0.432
EIDW,EBCI,905,905,0.566,0.415
EIDW,EBCI,753,753,0.282,0.298
EIDW,EBCI,1510,1510,0.556,0.442
EIDW,EBCI,1008,1008,0.494,0.294
EIDW,EBCI,1299,1299,0.286,0.268
EIDW,EBCI,1443,1443,0.524,0.488
EIDW,EBCI,1473,1473,0.355,0.288
EIDW,EBCI,1459,1459,0.499,0.314
EIDW,EBCI,1481,1481,0.589,0.463
EIDW,EBCI,1203,1203,0.350,0.345
EIDW,EBCI,984,984,0.314,0.294
EIDW,EBCI,668,668,0.311,0.464
EIDW,EBCI,1454,1454,0.561,0.461
EIDW,EBCI,1345,1345,0.559,0.279
EIDW,EBCI,1327,1327,0.311,0.295
EIDW,EBCI,1389,1389,0.312,0.307
EIDW,EBCI,1408,1408,0.496,0.471
EIDW,EBCI,1063,1063,0.546,0.462
