Origin,Destination,Total_time1,Total_time2,Exec_time1,Exec_time2
LBSF,EDDI,1182,1182,0.445,0.288
LBSF,EDDI,1316,1316,0.381,0.363
LBSF,EDDI,1076,1076,0.452,0.412
LBSF,EDDI,1231,1231,0.350,0.293
LBSF,EDDI,813,813,0.311,0.311
LBSF,EDDI,1017,1017,0.294,0.265
LBSF,EDDI,1425,1425,0.367,0.353
LBSF,EDDI,1361,1361,0.450,0.526
LBSF,EDDI,1134,1134,0.548,0.367
LBSF,EDDI,1336,1336,0.315,0.296
LBSF,EDDI,1273,1273,0.299,0.291
LBSF,EDDI,722,722,0.308,0.336
LBSF,EDDI,1285,1285,0.608,0.506
LBSF,EDDI,853,853,0.569,0.496
LBSF,EDDI,1351,1351,0.526,0.421
LBSF,EDDI,1327,1327,0.354,0.480
LBSF,EDDI,1361,1361,0.471,0.357
LBSF,EDDI,912,912,0.324,0.307
LBSF,EDDI,1016,1016,0.285,0.350
LBSF,EDDI,1434,1434,0.312,0.296
LBSF,EDDI,1081,1081,0.524,0.393
LBSF,EDDI,1359,1359,0.454,0.386
LBSF,EDDI,1471,1471,0.388,0.301
LBSF,EDDI,1047,1047,0.282,0.276
LBSF,EDDI,1099,1099,0.298,0.324
LBSF,EDDI,1429,1429,0.369,0.362
LBSF,EDDI,1471,1471,0.383,0.325
LBSF,EDDI,1267,1267,0.293,0.277
LBSF,EDDI,787,787,0.304,0.260
LBSF,EDDI,1252,1252,0.268,0.265
LBSF,EDDI,963,963,0.266,0.251
LBSF,EDDI,643,643,0.542,0.698
LBSF,EDDI,1353,1353,0.516,0.305
LBSF,EDDI,1373,1373,0.373,0.286
LBSF,EDDI,1265,1265,0.293,0.282
LBSF,EDDI,1133,1133,0.456,0.314
LBSF,EDDI,738,738,0.503,0.351
LBSF,EDDI,1298,1298,0.415,0.302
LBSF,EDDI,1392,1392,0.317,0.286
LBSF,EDDI,780,780,0.278,0.259
LBSF,EDDI,1308,1308,0.359,0.291
LBSF,EDDI,893,893,0.566,0.482
LBSF,EDDI,846,846,0.356,0.295
LBSF,EDDI,1296,1296,0.286,0.267
LBSF,EDDI,1245,1245,0.296,0.291
LBSF,EDDI,1324,1324,0.319,0.276
LBSF,EDDI,769,769,0.527,0.414
LBSF,EDDI,911,911,0.391,0.307
LBSF,EDDI,1389,1389,0.349,0.416
LBSF,EDDI,1431,1431,0.314,0.270
LBSF,EDDI,900,900,0.320,0.383
LBSF,EDDI,1363,1363,0.546,0.423
LBSF,EDDI,1241,1241,0.397,0.314
LBSF,EDDI,1313,1313,0.423,0.304
LBSF,EDDI,1065,1065,0.417,0.321
LBSF,EDDI,1422,1422,0.604,0.585
LBSF,EDDI,1392,1392,0.474,0.314
LBSF,EDDI,1381,1381,0.391,0.335
LBSF,EDDI,1379,1379,0.288,0.303
LBSF,EDDI,834,834,0.275,0.258
LBSF,EDDI,1356,1356,0.326,0.271
LBSF,EDDI,638,638,0.466,0.315
LBSF,EDDI,918,918,0.331,0.297
LBSF,EDDI,1236,1236,0.387,0.447
LBSF,EDDI,1291,1291,0.327,0.348
LBSF,EDDI,1027,1027,0.324,0.460
LBSF,EDDI,801,801,0.373,0.299
LBSF,EDDI,1140,1140,0.307,0.299
LBSF,EDDI,1302,1302,0.272,0.381
LBSF,EDDI,673,673,0.368,0.305
LBSF,EDDI,1348,1348,0.331,0.316
LBSF,EDDI,915,915,0.489,0.273
LBSF,EDDI,1258,1258,0.626,0.536
LBSF,EDDI,700,700,0.345,0.263
LBSF,EDDI,1328,1328,0.284,0.265
LBSF,EDDI,1421,1421,0.332,0.304
LBSF,EDDI,725,725,0.286,0.263
LBSF,EDDI,1249,1249,0.304,0.270
LBSF,EDDI,1121,1121,0.289,0.356
LBSF,EDDI,668,668,0.310,0.261
LBSF,EDDI,1381,1381,0.309,0.331
