Origin,Destination,Total_time1,Total_time2,Exec_time1,Exec_time2
SCEL,SLLP,1529,1529,0.803,0.562
SCEL,SLLP,793,793,0.431,0.321
SCEL,SLLP,1534,1534,0.380,0.269
SCEL,SLLP,616,616,0.356,0.316
SCEL,SLLP,804,804,0.442,0.390
SCEL,SLLP,991,991,0.425,0.257
SCEL,SLLP,1570,1570,0.339,0.349
SCEL,SLLP,1550,1550,0.601,0.402
SCEL,SLLP,1395,1395,0.360,0.258
SCEL,SLLP,1556,1556,0.367,0.312
SCEL,SLLP,673,673,0.429,0.348
SCEL,SLLP,787,787,0.527,0.365
SCEL,SLLP,713,713,0.383,0.265
SCEL,SLLP,1757,1757,0.656,0.300
SCEL,SLLP,894,894,0.283,0.256
SCEL,SLLP,760,760,0.278,0.274
SCEL,SLLP,1348,1348,0.437,0.475
SCEL,SLLP,856,856,0.457,0.472
SCEL,SLLP,1204,1204,0.536,0.365
SCEL,SLLP,1434,1434,0.484,0.509
SCEL,SLLP,1473,1473,0.400,0.261
SCEL,SLLP,1574,1574,0.323,0.300
SCEL,SLLP,1764,1764,0.597,0.478
SCEL,SLLP,1076,1076,0.466,0.305
SCEL,SLLP,859,859,0.349,0.271
SCEL,SLLP,1037,1037,0.296,0.278
SCEL,SLLP,1598,1598,0.522,0.411
SCEL,SLLP,1647,1647,0.369,0.291
SCEL,SLLP,708,708,0.310,0.255
SCEL,SLLP,1802,1802,0.526,0.281
SCEL,SLLP,996,996,0.427,0.403
SCEL,SLLP,1659,1659,0.559,0.425
SCEL,SLLP,1604,1604,0.706,0.465
SCEL,SLLP,1463,1463,0.485,0.297
SCEL,SLLP,718,718,0.293,0.279
SCEL,SLLP,1052,1052,0.313,0.296
SCEL,SLLP,956,956,0.530,0.444
SCEL,SLLP,1534,1534,0.470,0.274
SCEL,SLLP,964,964,0.307,0.279
SCEL,SLLP,1061,1061,0.442,0.410
SCEL,SLLP,1630,1630,0.367,0.261
SCEL,SLLP,1569,1569,0.291,0.272
SCEL,SLLP,1025,1025,0.508,0.466
SCEL,SLLP,974,974,0.372,0.276
SCEL,SLLP,782,782,0.365,0.298
SCEL,SLLP,1448,1448,0.484,0.430
SCEL,SLLP,950,950,0.350,0.252
SCEL,SLLP,1272,1272,0.299,0.275
SCEL,SLLP,1346,1346,0.279,0.261
SCEL,SLLP,1543,1543,0.339,0.267
SCEL,SLLP,815,815,0.303,0.315
SCEL,SLLP,1479,1479,0.356,0.301
SCEL,SLLP,1461,1461,0.677,0.322
SCEL,SLLP,1526,1526,0.333,0.266
SCEL,SLLP,1407,1407,0.316,0.293
SCEL,SLLP,918,918,0.576,0.483
SCEL,SLLP,705,705,0.386,0.339
SCEL,SLLP,1518,1518,0.292,0.280
SCEL,SLLP,1467,1467,0.311,0.289
SCEL,SLLP,1426,1426,0.278,0.383
SCEL,SLLP,1344,1344,0.464,0.297
SCEL,SLLP,797,797,0.278,0.328
SCEL,SLLP,740,740,0.291,0.263
SCEL,SLLP,1727,1727,0.480,0.460
SCEL,SLLP,715,715,0.361,0.285
SCEL,SLLP,994,994,0.480,0.452
SCEL,SLLP,1092,1092,0.706,0.528
SCEL,SLLP,742,742,0.477,0.273
SCEL,SLLP,696,696,0.376,0.282
SCEL,SLLP,1480,1480,0.371,0.321
SCEL,SLLP,999,999,0.330,0.316
SCEL,SLLP,1621,1621,0.489,0.283
SCEL,SLLP,711,711,0.402,0.259
SCEL,SLLP,1424,1424,0.373,0.294
SCEL,SLLP,723,723,0.544,0.365
SCEL,SLLP,1835,1835,0.423,0.273
SCEL,SLLP,1718,1718,0.367,0.304
SCEL,SLLP,796,796,0.709,0.504
SCEL,SLLP,1019,1019,0.500,0.292
SCEL,SLLP,1055,1055,0.271,0.257
SCEL,SLLP,785,785,0.267,0.248
SCEL,SLLP,1719,1719,0.346,0.299
SCEL,SLLP,891,891,0.512,0.498
SCEL,SLLP,1871,1871,0.443,0.296
SCEL,SLLP,1664,1664,0.332,0.296
SCEL,SLLP,1614,1614,0.405,0.282
SCEL,SLLP,1666,1666,0.335,0.291
SCEL,SLLP,745,745,0.316,0.294
SCEL,SLLP,880,880,0.514,0.436
SCEL,SLLP,1737,1737,0.735,0.424
SCEL,SLLP,1447,1447,0.790,0.540
