Origin,Destination,Total_time1,Total_time2,Exec_time1,Exec_time2
BIKF,SVMI,2704,2704,1.574,0.892
BIKF,SVMI,2400,2400,1.722,0.692
BIKF,SVMI,2243,2243,1.774,0.680
BIKF,SVMI,2468,2468,2.101,0.869
BIKF,SVMI,2198,2198,1.492,0.586
BIKF,SVMI,2832,2832,2.577,0.727
BIKF,SVMI,2255,2255,1.263,0.598
BIKF,SVMI,2343,2343,1.031,0.484
BIKF,SVMI,2095,2095,1.454,2.090
BIKF,SVMI,2502,2502,1.327,0.469
BIKF,SVMI,2464,2464,1.278,0.565
BIKF,SVMI,2636,2636,1.333,0.445
BIKF,SVMI,2323,2323,1.804,0.462
BIKF,SVMI,2148,2148,1.584,0.777
BIKF,SVMI,2242,2242,1.800,0.860
BIKF,SVMI,2133,2133,2.022,0.582
BIKF,SVMI,2062,2062,1.109,0.785
BIKF,SVMI,2247,2247,1.944,0.883
BIKF,SVMI,2604,2604,1.833,0.714
BIKF,SVMI,2278,2278,1.410,0.726
BIKF,SVMI,2700,2700,1.615,0.739
BIKF,SVMI,2442,2442,2.152,0.768
BIKF,SVMI,2416,2416,1.601,0.693
BIKF,SVMI,2611,2611,1.138,0.675
BIKF,SVMI,2372,2372,3.108,0.996
BIKF,SVMI,2451,2451,1.115,0.656
BIKF,SVMI,2692,2692,0.938,0.645
BIKF,SVMI,2205,2205,1.103,1.689
BIKF,SVMI,2272,2272,1.524,0.459
BIKF,SVMI,2352,2352,0.975,0.459
BIKF,SVMI,2028,2028,0.793,0.389
BIKF,SVMI,2603,2603,2.290,0.759
BIKF,SVMI,2417,2417,1.145,0.486
BIKF,SVMI,2169,2169,0.933,0.458
BIKF,SVMI,2319,2319,1.441,0.613
BIKF,SVMI,2619,2619,0.827,0.554
BIKF,SVMI,1976,1976,0.823,0.458
BIKF,SVMI,2019,2019,1.095,0.481
BIKF,SVMI,2524,2524,1.387,0.837
BIKF,SVMI,2397,2397,0.803,0.584
BIKF,SVMI,2578,2578,1.410,0.836
BIKF,SVMI,2262,2262,1.875,0.450
BIKF,SVMI,2323,2323,0.912,0.428
BIKF,SVMI,2420,2420,1.542,0.775
BIKF,SVMI,2386,2386,1.521,0.685
BIKF,SVMI,1998,1998,1.549,0.688
BIKF,SVMI,2137,2137,2.041,0.616
BIKF,SVMI,2459,2459,1.852,0.487
BIKF,SVMI,2334,2334,0.940,0.470
BIKF,SVMI,2081,2081,1.580,2.199
BIKF,SVMI,2114,2114,1.084,0.570
BIKF,SVMI,2096,2096,1.633,0.707
BIKF,SVMI,2395,2395,1.095,0.647
BIKF,SVMI,2371,2371,1.610,0.435
BIKF,SVMI,2467,2467,1.479,0.488
BIKF,SVMI,2100,2100,1.020,0.398
BIKF,SVMI,2210,2210,1.091,1.677
BIKF,SVMI,2336,2336,2.319,1.135
BIKF,SVMI,2090,2090,1.530,0.742
BIKF,SVMI,2089,2089,1.793,1.121
BIKF,SVMI,2034,2034,1.529,0.778
BIKF,SVMI,2294,2294,1.435,1.554
BIKF,SVMI,2110,2110,1.443,0.710
BIKF,SVMI,2266,2266,1.599,0.787
BIKF,SVMI,1914,1914,1.155,1.204
BIKF,SVMI,2525,2525,1.396,0.782
BIKF,SVMI,2130,2130,1.324,0.868
BIKF,SVMI,2310,2310,0.942,0.426
BIKF,SVMI,2635,2635,1.056,0.440
BIKF,SVMI,2752,2752,2.747,0.777
BIKF,SVMI,2031,2031,1.385,0.735
BIKF,SVMI,2179,2179,1.428,0.531
BIKF,SVMI,2352,2352,2.209,0.677
BIKF,SVMI,2036,2036,1.518,0.605
BIKF,SVMI,2253,2253,1.099,0.672
BIKF,SVMI,2401,2401,1.378,1.142
BIKF,SVMI,2310,2310,0.933,0.684
BIKF,SVMI,2269,2269,1.459,0.492
BIKF,SVMI,2122,2122,0.773,0.431
BIKF,SVMI,2063,2063,2.229,1.088
BIKF,SVMI,2211,2211,1.838,1.001
BIKF,SVMI,2106,2106,0.911,0.457
BIKF,SVMI,2389,2389,1.937,1.601
BIKF,SVMI,2399,2399,1.795,0.854
BIKF,SVMI,2296,2296,1.601,0.772
BIKF,SVMI,1986,1986,2.575,0.858
BIKF,SVMI,2264,2264,1.768,1.075
BIKF,SVMI,2041,2041,1.539,0.829
BIKF,SVMI,2438,2438,2.563,0.448
BIKF,SVMI,2265,2265,2.142,0.472
BIKF,SVMI,2592,2592,1.065,0.768
BIKF,SVMI,2453,2453,1.351,0.798
BIKF,SVMI,2342,2342,1.872,1.315
BIKF,SVMI,2404,2404,1.308,0.641
BIKF,SVMI,2081,2081,1.650,0.831
BIKF,SVMI,2669,2669,1.204,0.805
BIKF,SVMI,2228,2228,1.908,1.344
BIKF,SVMI,2033,2033,1.849,0.763
BIKF,SVMI,2110,2110,1.492,1.472
BIKF,SVMI,2215,2215,1.472,0.729
BIKF,SVMI,2243,2243,1.516,0.806
BIKF,SVMI,2219,2219,1.889,1.010
BIKF,SVMI,2124,2124,0.955,0.589
BIKF,SVMI,2071,2071,1.547,0.806
BIKF,SVMI,2679,2679,1.799,0.995
BIKF,SVMI,3015,3015,1.566,0.698
BIKF,SVMI,2279,2279,2.197,1.502
BIKF,SVMI,2458,2458,1.489,0.500
BIKF,SVMI,2088,2088,0.967,0.374
BIKF,SVMI,2120,2120,2.336,1.280
BIKF,SVMI,2573,2573,0.967,0.634
BIKF,SVMI,2280,2280,0.733,0.389
BIKF,SVMI,2215,2215,1.177,0.606
BIKF,SVMI,2832,2832,1.602,0.776
BIKF,SVMI,2227,2227,0.802,0.381
BIKF,SVMI,2767,2767,0.842,0.578
BIKF,SVMI,2394,2394,1.210,0.620
BIKF,SVMI,2383,2383,0.849,0.660
BIKF,SVMI,2609,2609,0.763,0.364
BIKF,SVMI,2219,2219,1.122,0.609
BIKF,SVMI,2217,2217,1.191,0.583
BIKF,SVMI,2429,2429,1.529,0.516
BIKF,SVMI,2300,2300,0.777,0.361
BIKF,SVMI,2306,2306,1.669,0.712
BIKF,SVMI,2332,2332,1.487,0.718
BIKF,SVMI,2718,2718,1.281,0.504
BIKF,SVMI,2366,2366,1.421,0.498
BIKF,SVMI,2201,2201,0.976,0.379
BIKF,SVMI,2488,2488,0.945,0.654
BIKF,SVMI,2151,2151,1.166,0.560
BIKF,SVMI,2737,2737,1.628,1.065
BIKF,SVMI,2572,2572,0.909,0.430
BIKF,SVMI,2840,2840,1.275,0.491
BIKF,SVMI,2412,2412,0.802,0.358
BIKF,SVMI,2111,2111,1.518,0.598
BIKF,SVMI,2302,2302,0.974,0.506
BIKF,SVMI,2195,2195,1.707,0.816
BIKF,SVMI,2128,2128,1.190,0.770
BIKF,SVMI,2199,2199,1.639,1.017
BIKF,SVMI,2107,2107,1.295,0.714
BIKF,SVMI,1953,1953,1.033,0.538
BIKF,SVMI,2347,2347,1.638,0.565
BIKF,SVMI,2475,2475,0.870,0.500
BIKF,SVMI,2204,2204,1.073,0.404
BIKF,SVMI,2051,2051,1.022,0.489
BIKF,SVMI,2378,2378,1.111,0.432
BIKF,SVMI,2237,2237,0.933,0.410
BIKF,SVMI,2525,2525,1.225,0.497
BIKF,SVMI,2674,2674,1.041,0.535
BIKF,SVMI,2104,2104,1.158,0.434
BIKF,SVMI,2198,2198,1.109,0.613
BIKF,SVMI,2323,2323,1.220,0.557
BIKF,SVMI,2129,2129,1.712,0.751
BIKF,SVMI,2433,2433,1.816,0.571
